Groupe,Genus,Species,Order,Family,System,Series,Stage,Regional Stage,Formation,Member,Locality,Max Age,Min Age,citations
Galeaspids,“Latirostraspis”,caohuensis,,,Silurian,Wenlock,Sheinwoodian,,Fentou Formation,Upper,Anhui,432,430,Mu et al (1986); Boucot and Janis 1983; Wang et al. 1987
Galeaspids,"“Laxaspis""","""rostrata""",,,Devonian,Lochkovian,,,Cuifengshan,Xitun,"Qujing area, Yunnan",413,410,Dupret and Zhu 2008
Galeaspids,"“Laxaspis""",,,,Devonian,Lochkovian,Upper,,Lianhuashan Formation,Liukankou Member (Uppermost),Liujing Village,412,410,Zhang & Pojeta (1986); Pojeta USGSPP
Galeaspids,Anjiaspis,reticularis,,,Silurian,Wenlock,Homerian,,Maoshan Formation,"""lower part""","Changxing, Zhejiang",430,429,Liang et al. 1996; He 1994; Wang et al. 1987
Galeaspids,Antiquisagittaspis,cornuta,Huananapiformes,Sanchaspidae,Devonian,Pragian,,,Nakaoling Formation,,"Hengxian and Xiangzhou, Guangxi",410,407,PBDB; Shihpu 1983; Pojeta USGSPP; Wang et al. 1987
Galeaspids,Asiaspis,expansa,Huananapiformes,Huananaspidae,Devonian,Pragian,,,Nakaoling Formation,,"Hengxian and Xiangzhou, Guangxi",410,407,PBDB; Shihpu 1983; Pojeta USGSPP; Wang et al. 1987
Galeaspids,Bannhuanaspis,vukhuci,,,Devonian,Lochkovian to Pragian,,,Bac Bun Formation,,"Bac Thai Province, VIETNAM",414,410,Janvier et al. 1993; Thanh et al. 2011 
Galeaspids,Changxingaspis,gui,,,Silurian,Llandovery,Telychian,,Maoshan Formation,"""lower part""","Changxing, Zhejiang",430,429,Liang et al. 1996; He 1994; Wang et al. 1987
Galeaspids,Cyclodiscaspis,ctenus,Polybranchiaspiformes,,Devonian,Lochkovian,,,Cuifengshan,Xitun,,413,410,Zhu Min pers. Comm.
Galeaspids,Damaspis,vartus,Polybranchiaspiformes,,Devonian,Lockhovian,,,Cuifengshan,Xishancun ,"Qujing area, Yunnan",416,413,Zhao et al. 2011; Cai and Wang 1995
Galeaspids,Dayongaspis,hunanensis,Hanyangaspidida,,Silurian,Llandovery,Telychian,,Rongxi Formation,,Hunan,438,436,Mu et al (1986); Lucas 2012
Galeaspids,Diandongaspis,xishancunensis,Polybranchiaspiformes,,Devonian,Lochkovian,,,Cuifengshan,Xishancun ,"Qujing area, Yunnan",416,413,Zhao et al. 2011; Cai and Wang 1995
Galeaspids,Dongfangaspis,qujingensis,Polybranchiaspiformes,,Devonian,Lochkovian,,,Cuifengshan,Xishancun ,"Qujing area, Yunnan",416,413,Zhao et al. 2011; Cai and Wang 1995
Galeaspids,Dongfangaspis,major,Polybranchiaspiformes,,Devonian,Pragian,,,Pingyipu Formation,,Sichuan,410,407,PBDB; Hao and Gensel 2001; Lu et al. 2012
Galeaspids,Duyunolepis,paoyangensis,Polybranchiaspiformes,Duyunolepidae,Devonian,Emsian,,,Wudang Formation,,Guizhou,407,400,Lucas 2012; Zhao and Zhu 2010; Wang et al. 1987 
Galeaspids,Duyunolepis,paoyangensis,Polybranchiaspiformes,Duyunolepidae,Devonian,Emsian,,,Shujiaping Formation,,Guizhou,407,400,Zhao and Zhu 2010; Wang et al. 1987 
Galeaspids,Duyunolepis,paoyangensis,Polybranchiaspiformes,Duyunolepidae,Devonian,Emsian,,,Hexian Formation,,,407,400,Zhao and Zhu 2010; Wang et al. 1987 
Galeaspids,Eugaleaspis,changi,Galeaspiformes,,Devonian,Lochkovian,,,Cuifengshan,Xitun,"Qujing area, Yunnan",413,410,Dupret and Zhu 2008
Galeaspids,Eugaleaspis,changi,Galeaspiformes,,Devonian,Lochkovian,,,Cuifengshan,Xishancun ,"Qujing, Yunnan Province",416,413,Zhao et al. 2011; Cai and Wang 1995
Galeaspids,Eugaleaspis,lianhuashanensis,Galeaspiformes,,Devonian,Lochkovian,,,Lianhuashan Formation,,"Guixian, Guangxi Autonomous Region",413,410,Pojeta USGSPP; Wang et al. 1987
Galeaspids,Eugaleaspis,xujiachongensis,Galeaspiformes,,Devonian,Pragian,,,Cuifengshan,Xujiachong,,410,407,Wellman et al 2012; PBDB
Galeaspids,Eugaleaspis,xujiachongensis,Galeaspiformes,,Devonian,Pragian,,,Posongchong Formation,,,408,407,PBDB; Hao and Gensel 2001; Lu et al. 2012
Galeaspids,Eugaleaspis,xiushanenis,Galeaspiformes,,Silurian,Llandovery,Telychian,,Huixingshao Formation,,"Xiushan, Chongqing",437,425,Mu et al (1986); PBDB; Holland and Bassett 2002
Galeaspids,Gantarostrataspis,gengi,Huananapiformes,Gantarostrataspidae,Devonian,Pragian,,,Cuifengshan,Xujiachong,,410,407,Wellman et al 2012; PBDB
Galeaspids,Gantarostrataspis,gengi,Huananapiformes,Gantarostrataspidae,Devonian,Pragian,,,Posongchong Formation,,,408,407,PBDB; Hao and Gensel 2001; Lu et al. 2012
Galeaspids,Geraspis,rara,,,Silurian,Llandovery,Telychian,,Guodingshan Formation,,Wuhan County,438,433,Zong et al 2011; Wang et al. 1987
Galeaspids,Geraspis,rara,,,Silurian,Wenlock,Sheinwoodian,,Wuxiahe Formation (Previously Wuxiaje),,Shaanxi,433,430,Chen et al. 2002; Jiang and Dineley 1988; Tang et al. 2015
Galeaspids,Geraspis,rara,,,Silurian,Wenlock,Sheinwoodian,,Xiushan Formation,upper,"Chongqing, Hunan, Guizhou",433,430,Lucas 2012; Bassett & Xu 2002; Bassett & Rong 2002; Wang et al 1987
Galeaspids,Gumuaspis,rostrata,,,Devonian,Pragian,,,Cuifengshan,Xujiachong,,410,407,Wellman et al 2012; PBDB
Galeaspids,Gumuaspis,rostrata,,,Devonian,Pragian,,,Posongchong Formation,,,408,407,PBDB; Hao and Gensel 2001; Lu et al. 2012
Galeaspids,Hanyangaspis,guodingshanensis,Hanyangaspidida,,Silurian,Llandovery,Telychian,,Guodingshan Formation,,Wuhan County,438,433,Zong et al 2011; Wang et al. 1987
Galeaspids,Hanyangaspis,guodingshanensis,Hanyangaspidida,,Silurian,Llandovery,Telychian,,Wuxiahe Formation,,Shaanxi,433,430,Chen et al. 2002; Jiang and Dineley 1988; Tang et al. 2015
Galeaspids,Hanyangaspis,guodingshanensis,Hanyangaspidida,,Silurian,Llandovery,Telychian,,Xiushan Formation,upper,"Chongqing, Hunan, Guizhou",433,430,PBDB; Bassett and Zhu 2002; Bassett and Rong 2002; Wang et al. 1987
Galeaspids,Huananaspis,wudinensis,Huananapiformes,Huananaspidae,Devonian,Pragian,,,Cuifengshan,Xujiachong,,410,407,Wellman et al 2012; PBDB
Galeaspids,Huananaspis,wudinensis,Huananapiformes,Huananaspidae,Devonian,Pragian,,,Posongchong Formation,,,408,407,PBDB; Hao and Gensel 2001; Lu et al. 2012
Galeaspids,Kalpinolepis,tarimensis,,,Silurian,Llandovery,Telychian,early,Tataaiertage Formation,,"Kalpin-Bachu, Xinjiang",438,436,Zhao and Zhu 2009; Jiang et al. 2009
Galeaspids,Konoceraspis,grandoculus,,,Silurian,Llandovery,Telychian,,Rongxi Formation,,Hunan,438,436,Mu et al (1986); PBDB; Wang et al. 1987
Galeaspids,Kwangnanaspis,subtriangularis,,,Devonian,Pragian,,,Cuifengshan,Xujiachong,,410,407,Wellman et al 2012; PBDB
Galeaspids,Kwangnanaspis,subtriangularis,,,Devonian,Pragian,,,Posongchong Formation,,,408,407,PBDB; Hao and Gensel 2001; Lu et al. 2012
Galeaspids,Laxaspis,qujingensis,,,Devonian,Lochkovian,,,Cuifengshan,Xitun,"Qujing area, Yunnan",413,410,Dupret and Zhu 2008
Galeaspids,Laxaspis,qujingensis,,,Devonian,Lochkovian,,,Cuifengshan,Xishancun ,"Qujing, Yunnan Province",416,413,Zhao et al. 2011; Cai and Wang 1995
Galeaspids,Laxaspis,yulongssus,,,Devonian,Lochkovian,,,Cuifengshan,Xishancun ,"Qujing area, Yunnan",416,413,Zhao et al. 2011; Cai and Wang 1995
Galeaspids,Laxaspis,yulongssus,,,Devonian,Lockhovian-Pragian,,,Khao Loc Formation,,"Ha Giang, VIETNAM",416,409,Wang et al. 2010; PBDB
Galeaspids,Laxaspis,sp.,,,Devonian,Pragian,,,Lianhuashan Formation,Liukankou Member,Liujing Village,410,407,Zhang & Pojeta (1986); Pojeta USGSPP
Galeaspids,Lopadaspis,pinglensis,Polybranchiaspiformes,Duyunolepidae,Devonian,Emsian,,,Wudang Formation,,,407,400,Zhao and Zhu 2010; Wang et al. 1987 
Galeaspids,Lopadaspis,pinglensis,Polybranchiaspiformes,Duyunolepidae,Devonian,Emsian,,,Shujiaping Formation,,,407,400,Zhao and Zhu 2010; Wang et al. 1987 
Galeaspids,Lopadaspis,pinglensis,Polybranchiaspiformes,Duyunolepidae,Devonian,Emsian,,,Hexian Formation,,,407,400,Zhao and Zhu 2010; Wang et al. 1987 
Galeaspids,Lungmenshanaspis,kiangyouensis,Huananapiformes,,Devonian,Pragian,,,Pingyipu Formation,,Sichuan,410,407,PBDB; Hao and Gensel 2001; Lu et al. 2012
Galeaspids,Lungmenshanaspis,yunnanensis,Huananapiformes,,Devonian,Pragian,,,Cuifengshan,Xujiachong,,410,407,Wellman et al 2012; Lucas 2012; PBDB
Galeaspids,Lungmenshanaspis,yunnanensis,Huananapiformes,,Devonian,Pragian,,,Posongchong Formation,,,408,407,PBDB; Hao and Gensel 2001; Lu et al. 2012
Galeaspids,Macrothyraspis,longicornis,,,Devonian,Pragian,,,Cuifengshan,Xujiachong,,410,407,Wellman et al 2012; Lucas 2012; PBDB
Galeaspids,Macrothyraspis,longicornis,,,Devonian,Pragian,,,Posongchong Formation,,,408,407,PBDB; Hao and Gensel 2001; Lu et al. 2012
Galeaspids,Macrothyraspis,longilanceus,,,Devonian,Pragian,,,Posongchong Formation,,"Wenshan, Yunnan Province",408,407,PBDB; Hao and Gensel 2001; Lu et al. 2012
Galeaspids,Meishanaspis,lehmani,Galeaspiformes,,Silurian,Wenlock,Homerian,,Maoshan Formation,"""lower part""","Changxing, Zhejiang",430,429,Lucas 2012; Liang et al. 1996; He 1994; Wang et al. 1987 
Galeaspids,Microhoplonaspis,microthyris,,,Devonian,Lochkovian,,,Cuifengshan,Xitun,"Qujing, Yunnan Provinc",413,410,Yang et al. 1981
Galeaspids,Microphymaspis,pani,,,Silurian,Llandovery,Telychian,,Tataaiertage Formation,,"Kalpin-Bachu, Xinjiang",438,436,Jiang et al. 2009
Galeaspids,Nanjiangaspis,kalpinensis,,,Silurian,Llandovery,Telychian,,Tataaiertage Formation,,"Kalpin-Bachu, Xinjiang",438,436,Jiang et al. 2009
Galeaspids,Nanpanaspis,microculus,Huananapiformes,,Devonian,Lockhovian,,,Cuifengshan,Xitun,"Qujing area, Yunnan",413,410,Dupret and Zhu 2008
Galeaspids,Nanpanaspis,microculus,Huananapiformes,,Devonian,Lochkovian,,,Cuifengshan,Xishancun ,"Qujing, Yunnan Province",416,413,Zhao et al. 2011
Galeaspids,Neoduyunaspis,minuta,Polybranchiaspiformes,Duyunolepidae,Devonian,Emsian,,,Wudang Formation,,,407,400,Zhao and Zhu 2010; Wang et al. 1987 
Galeaspids,Neoduyunaspis,minuta,Polybranchiaspiformes,Duyunolepidae,Devonian,Emsian,,,Shujiaping Formation,,,407,400,Zhao and Zhu 2010; Wang et al. 1987 
Galeaspids,Neoduyunaspis,minuta,Polybranchiaspiformes,Duyunolepidae,Devonian,Emsian,,,Hexian Formation,,,407,400,Zhao and Zhu 2010; Wang et al. 1987 
Galeaspids,Nochelaspis,maeandrina,,,Devonian,Lochkovian,early,,Cuifengshan,Xishancun ,"Qujing area, Yunnan",416,413,Zhao et al. 2011; Cai and Wang 1995
Galeaspids,Paraduyunaspis,hezhangensis,Polybranchiaspiformes,Duyunolepidae,Devonian,Emsian,,,Cuifengshan,Guijiatun?,,407,400,Zhao and Zhu 2010; Wang et al. 1987 
Galeaspids,Paraduyunaspis,hezhangensis,Polybranchiaspiformes,Duyunolepidae,Devonian,Emsian,,,Shujiaping Formation,,,407,400,Zhao and Zhu 2010; Wang et al. 1987 
Galeaspids,Paraduyunaspis,hezhangensis,Polybranchiaspiformes,Duyunolepidae,Devonian,Emsian,,,Hexian Formation,,,407,400,Zhao and Zhu 2010; Wang et al. 1987 
Galeaspids,Pentathyraspis,pelta,,,Devonian,Lochkovian,,,Cuifengshan,Xishancun ,"Qujing area, Yunnan",413,410,Zhao et al. 2011; Cai and Wang 1995
Galeaspids,Platycaraspis,tianshanensis,,,Silurian,Llandovery,Telychian,,Tataaiertage Formation,,"Kalpin, Xinjiang Autonomous Region",438,436,Jiang et al. 2009
Galeaspids,Polybranchiaspis,liaojiaoshanensis,Polybranchiaspiformes,Polybranchiaspidae,Devonian,Lochkovian,,,Cuifengshan,Xishancun ,"Qujing area, Yunnan",416,413,Zhao et al. 2011; Cai and Wang 1995
Galeaspids,Polybranchiaspis,liaojiaoshanensis,Polybranchiaspiformes,Polybranchiaspidae,Devonian,Lochkovian,,,Cuifengshan,Xishancun ,"Yiliang, Yunnan Province",416,413,Zhao et al. 2011; Cai and Wang 1995
Galeaspids,Polybranchiaspis,liaojiaoshanensis,Polybranchiaspiformes,Polybranchiaspidae,Devonian,Lochkovian,,,Cuifengshan,Xishancun ,"Songming, Yunnan Province",416,413,Zhao et al. 2011; Cai and Wang 1995
Galeaspids,Polybranchiaspis,liaojiaoshanensis,Polybranchiaspiformes,Polybranchiaspidae,Devonian,Lochkovian,,,Cuifengshan,Xitun,"Qujing area, Yunnan",413,410,Yang et al. 1981
Galeaspids,Polybranchiaspis,liaojiaoshanensis,Polybranchiaspiformes,Polybranchiaspidae,Devonian,Lockhovian-Pragian,,,Khao Loc Formation,,"Ha Giang, VIETNAM",416,409,PBDB
Galeaspids,Polybranchiaspis,liaojiaoshanensis,Polybranchiaspiformes,Polybranchiaspidae,Devonian,Lochkovian,,Song Cau,Si Ka Formation,,"Yen Minh, VIETNAM",419,415,Thanh et al. 2011
Galeaspids,Polybranchiaspis,minor,Polybranchiaspiformes,Polybranchiaspidae,Devonian,Lochkovian,,,Cuifengshan,Xishancun ,"Qujing area, Yunnan",413,410,Zhao et al. 2011; Cai and Wang 1995
Galeaspids,Polybranchiaspis,sp.,Polybranchiaspiformes,Polybranchiaspidae,Silurian,Ludlow,,,Yulungssu Formation,crispa zone,"Liaojiaoshan Area, near Qujing, Yunnan Province",424,424,Mu et al (1986) in PaleoDB
Galeaspids,Polybranchiaspis,sp.,Polybranchiaspiformes,Polybranchiaspidae,Devonian,Lockhovian,,,Si Ka Formation,,,419,415,Wang et al. 2010
Galeaspids,Pseudoduyunaspis,bachuensis,Polybranchiaspiformes,Duyunolepidae,Silurian,Llandovery,Telychian,,Yimugantawu Formation,lower,"Kalpin-Bachu, Xinjiang",436,433,Wang et al. 1998
Galeaspids,Pterogonaspis,yuhaii,,,Devonian,Pragian,,,Cuifengshan,Xujiachong,"Qujing area, Yunnan",410,407,Wellman et al 2012; PBDB
Galeaspids,Pterogonaspis,yuhaii,,,Devonian,Pragian,,,Posongchong Formation,,"Qujing area, Yunnan",408,407,PBDB; Hao and Gensel 2001; Lu et al. 2012
Galeaspids,Qingmenaspis,microculus,,,Devonian,Pragian,,,Cuifengshan,Xujiachong,,410,407,Wellman et al 2012; PBDB
Galeaspids,Qingmenaspis,microculus,,,Devonian,Pragian,,,Posongchong Formation,,,408,407,PBDB; Hao and Gensel 2001; Lu et al. 2012
Galeaspids,Rhegmalepis,xiphoidea,Huananapiformes,Gantarostrataspidae,Devonian,Pragian,,,Posongchong Formation,upper,,408,407,Gai et al. 2015
Galeaspids,Sanchaspis,magalarostrata,Huananapiformes,Sanchaspidae,Devonian,Pragian,,,Cuifengshan,Xujiachong,,410,407,Wellman et al 2012; PBDB
Galeaspids,Sanchaspis,magalarostrata,Huananapiformes,Sanchaspidae,Devonian,Pragian,,,Posongchong Formation,,,410,407,PBDB; Hao and Gensel 2001; Lu et al. 2012
Galeaspids,Sanqiaspis,rostrata,Huananapiformes,Sanqiaspidae,Devonian,Pragian,,,Pingyipu Formation,,Sichuan,410,407,PBDB; Hao and Gensel 2001; Lu et al. 2012
Galeaspids,Sanqiaspis,rostrata,Huananapiformes,Sanqiaspidae,Devonian,Pragian,,,Cuifengshan,Xujiachong,,410,407,Wellman et al 2012; PBDB
Galeaspids,Sanqiaspis,rostrata,Huananapiformes,Sanqiaspidae,Devonian,Pragian,,,Posongchong Formation,,,410,407,PBDB; Hao and Gensel 2001; Lu et al. 2012
Galeaspids,Sanqiaspis,zhaotongensis,Huananapiformes,Sanqiaspidae,Devonian,Pragian,,,Cuifengshan,Xujiachong,,410,407,Wellman et al 2012; PBDB
Galeaspids,Sanqiaspis,zhaotongensis,Huananapiformes,Sanqiaspidae,Devonian,Pragian,,,Posongchong Formation,,,410,407,PBDB; Hao and Gensel 2001; Lu et al. 2012
Galeaspids,Sanqiaspis,vietnamensis,Huananapiformes,Sanqiaspidae,Devonian,Lockhovian,,,Si Ka Formation,,"Yen Minh, VIETNAM",419,415,Wang et al. 2010
Galeaspids,Sinogaleaspis,shankouensis,Galeaspiformes,,Silurian,Wenlock,Homerian,,Xikeng Formation,,"Xiushui, Jiangxi",430,427,"Bassett and Rong, 2002"
Galeaspids,Sinogaleaspis,xikengensis,Galeaspiformes,,Silurian,Wenlock,Homerian,,Xikeng Formation,,"Xiushui, Jiangxi",430,427,"Bassett and Rong, 2002"
Galeaspids,Sinogaleaspis,zhejiangensis,Galeaspiformes,,Silurian,Wenlock,Homerian,,Maoshan Formation,"""lower part""","Changxing, Zhejiang",430,429,Liang et al. 1996; He 1994; Wang et al. 1987
Galeaspids,Sinoszechuanaspis,yanmenpaensis,Huananapiformes,,Devonian,Pragian,,,Pingyipu Formation,,,410,407,PBDB; Hao and Gensel 2001; Lu et al. 2012
Galeaspids,Siyingia,altuspinosa,Polybranchiaspiformes,,Devonian,Lochkovian,,,Cuifengshan,Xitun,"Yiliang, Yunnan Province",413,410,Yang et al. 1981
Galeaspids,Tridensaspis,magnoculus,Galeaspiformes,,Devonian,Emsian,early,,Yukiang Formation,,"Xiangzhou, Guangxi Autonomous Region",409,405,Jia Yu et al. 2004; Wang et al. 1987
Galeaspids,Tridensaspis,magnoculus,Galeaspiformes,,Devonian,Emsian,,,Yujiang Formation,,,409,405,Lucas 2012' PBDB
Galeaspids,Tridensaspis,magnoculus,Galeaspiformes,,Devonian,Emsian,,,Ertang Formation,,"Xiangzhou, Guangxi",409,405,Wang et al 1987; PBDB; Pojeta 1986 USGSPP; Jia Yu et al. 2004; Wang et al. 2987
Galeaspids,Tridensaspis,magnoculus,Galeaspiformes,,Devonian,Emsian,,,Dale Formation,,"Xiangzhou, Guangxi",402,391,Jia Yu et al. 2004
Galeaspids,Tridensaspis,magnoculus,Galeaspiformes,,Devonian,Emsian,,,Moding Formation,,"Hengxian, Guangxi",405,393,Jia Yu et al. 2004
Galeaspids,Tridensaspis,magnoculus,Galeaspiformes,,Devonian,Pragian,,,Bailiuping Formation,,"Jiangyou, Sichuan",410,407,Jia Yu et al. 2004; Wang et al. 1987
Galeaspids,Tridensaspis,magnoculus,Galeaspiformes,,Devonian,Emsian,,,Ganxi Formation,,"Jiangyou, Sichuan",410,405,PBDB; Jia Yu et al. 2004
Galeaspids,Tridensaspis,magnoculus,Galeaspiformes,,Devonian,Emsian,,,Xiejiawan Formation,,"Jiangyou, Sichuan",405,390,Zhang and Palmer 2003
Galeaspids,Tridensaspis,magnoculus,Galeaspiformes,,Devonian,Emsian Eifelian,,,Ertaizi Formation,,"Jiangyou, Sichuan",393,387,Zhang and Palmer 2003
Galeaspids,Wenshanaspis,zhichangensis,,,Devonian,Pragian,,,Cuifengshan,Xujiachong,,410,407,Wellman et al 2012; PBDB
Galeaspids,Wenshanaspis,zhichangensis,,,Devonian,Pragian,,,Posongchong Formation,,,408,407,PBDB; Hao and Gensel 2001; Lu et al. 2012
Galeaspids,Wumengshanaspis,cuntianensis,Huananapiformes,Gantarostrataspidae,Devonian,Lockhovian,,,Xindu Formation,,"Pingle, Guangxi",416,410,Shen 2002
Galeaspids,Wumengshanaspis,cuntianensis,Huananapiformes,Gantarostrataspidae,Devonian,Lockhovian-Pragian,,,Suotoushan Formation,lower,"Yiliang, Yunnan",410,391,Zhu Min pers. Comm.
Galeaspids,Xiushuiaspis,jiangxiensis,Hanyangaspidida,,Silurian,Llandovery,Telychian,,Xikeng Formation,,"Xiushui, Jiangxi",430,427,"Bassett and Rong, 2002"
Galeaspids,Xiushuiaspis,ganbeiensis,Hanyangaspidida,,Silurian,Llandovery,Telychian,,Xikeng Formation,,"Xiushui, Jiangxi",430,427,"Bassett and Rong, 2002"
Galeaspids,Yunnanogaleaspis,major,Galeaspiformes,,Devonian,Lochkovian,early,,Cuifengshan,Xishancun ,"Qujing area, Yunnan",416,413,Lucas 2012
Galeaspids,Zhaotongaspis,janvieri,,,Devonian,Pragian,,,Cuifengshan,Xujiachong,,410,407,Wellman et al 2012
Galeaspids,Zhaotongaspis,janvieri,,,Devonian,Pragian,,,Posongchong Formation,,,408,407,PBDB; Hao and Gensel 2001; Lu et al. 2012