Group,Genus,Species,Taxonomic Note,Order,Family,System,Series,Stage,Regional Stage,Group,Formation,Member,Locality,Max Age,Min Age,citation
Heterostracans,Alaeckaspis,magnipinealis,,,Pteraspidiformes,Devonian,,Lockhovian,,,Tyver Formation,Ivanie Member,"Podolia, Ukraine",414,412,littoral according to Voichyshyn 2011
Heterostracans,Alaeckaspis,ustetchkiensis,,,Pteraspidiformes,Devonian,,Pragian,,,Dniester Formation,Khmeleva ,"Podolia, Ukraine",410,408,lacustrine according to Voichyshyn 2011
Heterostracans,Alaeckaspis,verbivciensis,,,Pteraspidiformes,Devonian,,Lockhovian,,,Ikva,,"Podolia, Ukraine",412,410,lagoon-delta according to Voichyshyn 2010
Heterostracans,Alaeckaspis?,depressa,,Heterostraci,Pteraspidiformes,Devonian,,Lockhovian,,,Tyver Formation,Chortkov Member,"Podolia, Ukraine",416,415,Novitskaya 2007; shallow nearshore according to Voichyshyn 2011
Heterostracans,Alainaspis,platyrhina,,Heterostraci,Cyathaspididae,Silurian,,Gorstian,,,Peel Sound & Somerset Island Fms,,"Prince of Wales Island & Somerset Island, Northwest territories, Canada",427,425,"Eliott and Dineley, 1983"
Heterostracans,Alainaspis,platyrhina,,Heterostraci,Cyathaspididae,Silurian,,Pridoli,,,Peel Sound & Somerset Island Fms,,"Prince of Wales Island & Somerset Island, Northwest territories, Canada",423,419,"Eliott and Dineley, 1983"
Heterostracans,Allocryptatus,laticostatus,,,,Devonian,,Pragian,,,Holland Quarry,,,410,407,Pers. Obs.
Heterostracans,Allocryptatus,elliptica,,,,Devonian,,Emsian,,,Beartooth Butte,,Wyoming,407,393,Pers. Obs.
Heterostracans,Allocryptatus,flabelliformis,,,,Devonian,,Emsian,,,Beartooth Butte,,Wyoming,407,393,Denison 1964; Boucot & Janis 1983 for BA
Heterostracans,Allocryptatus,utahensis,,,,,,Pragian (Upper),,,Water Canyon,,Utah,410,409,Denison 1964; Boucot & Janis 1983 for BA
Heterostracans,Althaspis,leachi,,,Pteraspididae,Devonian,,Lockhovian,,Ditton Group,,upper cornstone,Besom farm,419,414,Loeffler and Thomas 1980; Dineley & Metcalfe 1999; lack of any marine inverts
Heterostracans,Althaspis,sp,,,Pteraspididae,Devonian,,Lockhovian,,Ditton Group,,lower cornstone,Besom farm,413,411,Loeffler and Thomas 1980; Dineley & Metcalfe 1999; lack of any marine inverts
Heterostracans,Althaspis,seeniensis,,,Pteraspididae,Devonian,,Pragian,,,,Senni Beds,"Hoel Senni, Powys, Wales, UK",410,407,Loeffler and Thomas 1980; GCR volume for envirionment
Heterostracans,Althaspis,tarloi,,,Pteraspididae,Devonian,,Lockhovian/Pragian,,,Dniester Formation,Ustechko,"Podolia, Ukraine",412,410,Pers. Obs.
Heterostracans,Althaspis,? spathulirostris,,,Pteraspididae,,,Pragian,,,Dniester Formation,Strypa ,Podolia,408,407,Voichyshyn 2011
Heterostracans,Althaspis,elongata,,,Pteraspididae,,,Pragian,,,Dniester Formation,Strypa ,Podolia,408,407,Voichyshyn 2011
Heterostracans,Althaspis,longirostra,,,Pteraspididae,,,Pragian,,,Dniester Formation,Strypa ,Podolia,408,407,Voichyshyn 2011
Heterostracans,Althaspis,sapovensis,,,Pteraspididae,,,Pragian,,,Dniester Formation,Strypa ,Podolia,408,407,Voichyshyn 2011
Heterostracans,Americaspis,americana,,Heterostraci,Cyathaspididae,Silurian,,Ludlow,,,Bloomsburg Formation,,"Mt Union, Pennsylvania, USA",427,423,Plotnick 1999; Denison 1964
Heterostracans,Americaspis,americana,,Heterostraci,Cyathaspididae,Silurian,,Late Pridoli,,,Wills Creek Formation,Landisburg Sandstone,"Perry County, Pennsylvania, USA",421,419,Denison 1964; Boucot & Janis 1983 for BA
Heterostracans,Americaspis,claypolei,,,Cyathaspididae,Silurian,,Ludlow,,,Longwood Shale,,"northern New Jersey, USA",427,423,Denison 1964; Boucot & Janis 1983
Heterostracans,Anchipteraspis,crenulata,,,,Silurian,,Pridoli,,,Peel Sound Formation,lower member,"Somerset Island, Arctic Canada",423,422,Elliott 1984; Boucot & Janis 1983 for BA
Heterostracans,Anglaspis,sp,,Heterostraci,Cyathaspididae,Silurian,,Pridoli,,,Somerset Island Formation,,"Northwest territories, Canada",423,421,Denison 1964; Miall & Kerr 1977 for palaeoenvironment 'inter-tidal'
Heterostracans,Anglaspis,,,,Cyathaspididae,Silurian,,Ludlow,,,Read Bay Formation,,"Somerset Island, Northwest territories, Canada",430,425,Jones & Dixon 1977; Boucot & Janis 1983 for BA
Heterostracans,Anglaspis,sp,,Heterostraci,Cyathaspididae,Devonian,,Lockhovian,,,Snowblind Bay Formation,,"Read Bay, Cornwallis Island, Canada",414,411,Elliott & Loeffler 1989; Boucot & Janis 1983 for BA
Heterostracans,Anglaspis,sp,,Heterostraci,Cyathaspididae,Devonian,,Lockhovian,,,Lievin Formation,,"Lievin, Northern France",419,411,Plotnick 1999
Heterostracans,Anglaspis,sp,,Heterostraci,Cyathaspididae,Devonian,,Lockhovian,,,Fraenkelryggen Formation,,"Red Bay, Spitsbergen",417,415,Plotnick 1999
Heterostracans,Anglaspis,,,Heterostraci,Cyathaspididae,Devonian,,Lockhovian,,,Ben Nevis Formation,,Spitsbergen,413,410,Harland 1997 chpt.16 Geology of Svalbard
Heterostracans,Anglaspis,sp.,,Heterostraci,Cyathaspididae,Devonian,,Lockhovian,,,Pod'emnaya Formation,,"Severnaya Zemlya, Russia",419,414,Blieck et al 2002; Turner 1999 for BA
Heterostracans,Anglaspis,mcculloughi,,Heterostraci,Cyathaspididae,Devonian,,Lockhovian (early),,St Maughan's Group,,?basal fish conglomerate,"Lydney, Gloucestershire",419,417,GCR; tidal?
Heterostracans,Anglaspis,heintzi,Fraenkelaspis,Heterostraci,Cyathaspididae,Devonian,,Lockhovian,,,Fraenkelryggen,Primeva Horizon,"Spitsbergen, Norway",415,415,Novitskaya 2007; Blieck and Heintz 1983; Elliott 2013;  Plotnick 1999 for BA
Heterostracans,Arandaspis,prionotolepis,,Arandaspidida,Arandaspididae,Ordovician,Middle,Darriwilian,Llanvirn (Arenig in error on PB),,Stairway Sandstone,,"Mt Watt, Northern Territory, Australia",466,464,Ritchie and Gilbert-Tomlinson 1977; Boucot and Janis 1983 and Davies et al 2011 for palaeoenvironment (shallower than BA 2 - 3 from B & J)
Heterostracans,Arandaspis,prionotolepis,,Arandaspidida,Arandaspididae,Ordovician,Middle,Darriwilian,Llanvirn (Arenig in error on PB),,Stairway Sandstone,,"Mt Charlotte, Northern Territory, Australia",466,464,Ritchie and Gilbert-Tomlinson 1977; Boucot and Janis 1983 and Davies et al 2011 for palaeoenvironment (shallower than BA 2 - 3 from B & J)
Heterostracans,Arandaspis,sp.,,Arandaspidida,Arandaspididae,Ordovician,Middle,Darriwilian,Llanvirn,,Stairway Sandstone,,"James 'B' Anticline, Northern Territory, Australia",466,461,Young 1997; Boucot and Janis 1983 and Davies et al 2011 for palaeoenvironment
Heterostracans,Archaegonaspis,ludensis,,Heterostraci,Cyathaspididae,Silurian,,Ludlow,Ludfordian,,,Lower Leintwardine Shales,"Church Hill, Herefordshire, UK",425,423,GCR; Boucot & Janis for BA
Heterostracans,Archaegonaspis,schmidti,,Heterostraci,Cyathaspididae,Silurian,,Pridoli,,,Somerset Island Formation,,"Port Leopold, Northwest territories, Canada",423,419,Loeffler and Jones 1976; Miall & Kerr 1977 for palaeoenvironment 'inter-tidal'
Heterostracans,Archaegonaspis,ludensis,,Heterostraci,Cyathaspididae,Silurian,,Ludlow,Gorstian,,,Black Cock Beds,"Cwar Glas, Dyfed, Wales",427,425,Denison 1964; Salopina fauna indicates BA
Heterostracans,Archaegonaspis,drummondi,,Heterostraci,Cyathaspididae,Silurian,,Ludlow,,,Vernon Formation,,New York,427,423,Flower and Wayland-Smith 1952; Plotnick 1999 for BA
Heterostracans,Archegonaspis,sp.,,Heterostraci,Cyathaspididae,Silurian,,latest Homerian,,,Delorme,Avalanche Lake: AV1D and AV2R,"Avalanche Lake, Mackenzie, Northwest Territories",428,427,"Soehn, 2000; Boucot & Janis 1983 for BA"
Heterostracans,Archegonaspis,sp.,,Heterostraci,Cyathaspididae,Silurian,,Ludlow,,,Leopold Formation,Cape Clarence Member,"Nunavut, Canada Somerset and Leopold Islands",427,423,Plotnick 1999; Eurypterid member
Heterostracans,Archegonaspis,sp.,,Heterostraci,Cyathaspididae,Silurian,,Ludlow,,,Ust' Spokojnaya Formation,,"Severnaya Zemlya, Russia",427,423,Blieck et al 2002; Turner 1999 for BA
Heterostracans,Archegonaspis,sp.,,Heterostraci,Cyathaspididae,Silurian,,Pridoli,,,Vernon-Pittsford Formations,,"western New York, USA",427,423,Sepkoski 1998
Heterostracans,Archegonaspis,schmidti,,Heterostraci,Cyathaspididae,Silurian,Ludlow,Gorstian,,,,Graptolithengestein (erratic),Northern Germany,423,419,Marss 1977; Boucot & Janis 1983 for BA
Heterostracans,Archegonaspis,lindstromi,,Heterostraci,Cyathaspididae,Silurian,,Gorstian,,,,Hemse Beds,"Goggs Island, Gotland Island",425,423,Marss 2001; Boucot & Janis 1983 for BA
Heterostracans,Archegonaspis,sp.,,Heterostraci,Cyathaspididae,Silurian,,Ludfordian,,,Mituva Fm,Paadla,Western Latvia,427,425,Marss 2001; Boucot & Janis 1983 for BA
Heterostracans,Archegonaspis,sp. B,,Heterostraci,Cyathaspididae,Silurian,,,Kuressaare,,Ohesaare,Tahula Beds,Estonia,425,423,Marss 1977; Boucot & Janis 1983 for BA
Heterostracans,Arctictenaspis,ornata,,,,,,,,,?Peel Sound Formation,,"?Prince of Wales Island, Northwest Territories, Canada",423,422,Elliott & Blieck 2010
Heterostracans,Arctictenaspis,obruchevi,,,,,,,,,Peel Sound Formation,,"Prince of Wales Island, Northwest Territories, Canada",423,422,Elliott & Blieck 2010; Boucot & Janis for BA
Heterostracans,Ariaspis,sp.,genus name pre-occupied?,Heterostraci,Ariaspididae,Silurian,,Telychian/Sheinwoodian,,,Delorme,"Avalanche: AV1, 2, 4","Avalanche Lake, MacKenzie Mountains, Northwest terroritories, Canada",438,430,Boucot & Janis 1983 for BA
Heterostracans,Ariaspis,sp.,genus name pre-occupied?,Heterostraci,Ariaspididae,Silurian,,late Sheinwoodian-Homerian,,,Delorme,Avalanche: AV4 and 5,"Avalanche Lake, MacKenzie Mountains, Northwest terroritories, Canada",438,430,Boucot & Janis 1983 for BA
Heterostracans,Ariaspis,ornata,genus name pre-occupied?,Heterostraci,Ariaspididae,Silurian,,Gorstian,,,Road River Formation,,"Beaver River, Southeastern Yukon, Canada",427,425,"Denison, 1963; Boucot & Janis 1983 for BA and formation"
Heterostracans,Ariaspis,arctata,genus name pre-occupied?,Heterostraci,Ariaspididae,Silurian,,Pridoli,,,Somerset Island Formation,,"Pressure Point, Somerset Island, Canadian Arctic",423,421,"Elliott and Smith, 2010; 'intertidal and supratidal'"
Heterostracans,Asketaspis,interstincta,,Heterostraci,,Silurian/Devonian,,Lockhovian,Lower Dittonian,,Delorme,transition between Delorme and Road River,Northwest Territories,419,411,Dineley & Loeffler 1976 - GSC 69017 transistion between Delorme and Road River Fm detailed locality info in D&L suggests brackish lagoon - BA 3 according to Boucot & Janis 1983
Heterostracans,Astraspis,desiderata,,Astraspidiformes,Astraspididae,Ordovician,Upper,Katian,Caradoc,,Harding Formation,,"Canon City, Colorado",454,453,Walcott 1892; Boucot and Janis 1983 for BA
Heterostracans,Astraspis,desiderata,,Astraspidiformes,Astraspididae,Ordovician,Upper,Sandbian-Katian,Caradoc,,Winnipeg Formation,South Piney Member,"Bighorn Mountains, Wyoming",454,453,Sansom and Smith 2005
Heterostracans,Astraspis,sp.,,Astraspidiformes,Astraspididae,Ordovician,Upper,Middle Katian,Caradoc 5b,,Lowville Formation,just above base,"Sand Point, Ontario",452,451,Turner et al 2004; Cameron and Mangion 1977 for palaeoenvironment
Heterostracans,Astraspis,sp.,,Astraspidiformes,Astraspididae,Ordovician,Upper,,,,Pamelia Formation,uppermost,"Ouareau River, Quebec, Canada",453,452,Eliuk 1973
Heterostracans,Astraspis,sp.,???,,,Ordovician,,Darriwilian,Whiterockian,,St Peter Formation,,"Winneshiek Lagerstatte, Decorah, Iowa, USA",462,457,"Liu et al 2006, based on Linguloids"
Heterostracans,Athenaegis,chattertoni,,Heterostraci,Tolyaspididae,Silurian,,Telychian/Sheinwoodian,,,Delorme,"Avalanche: AV1, 2, 4","Avalanche Lake, MacKenzie Mountains, Northwest terroritories, Canada",438,430,"Soehn, 2000; Boucot & Janis 1983 for BA"
Heterostracans,Blieckaspis,priscillae,,,,Devonian,,Emsian,late,,Lost Burro Formation,Lippincott Member,"Trail Canyon, Death Valley, California",400,397,Elliott & Ilyes 1996; 
Heterostracans,Blieckaspis,priscillae,,,,Devonian,,Pragian (Upper),,,Water Canyon,,Utah,410,409,Pers. Obs.
Heterostracans,Boothiaspis,,,Heterostraci,Cyathaspididae,Silurian,,Pridoli,,,Devon Island Formation,,"Ellesmere Island, Northwest territories, Canada",423,419,Broad 1973; Boucot & Janis 1983 for BA
Heterostracans,Boothiaspis,ovata,,Heterostraci,Cyathaspididae,Silurian,,Pridoli (Early),,,Peel Sound Fm,,"Prince of Wales Island, Canada",423,422,"Eliott and Dineley, 1991' Novitskaya 2007; Boucot & Janis 1983 for BA"
Heterostracans,Boothiaspis,ovata,,Heterostraci,Cyathaspididae,Silurian,,Pridoli (Early),,,Somerset Island Fm,,"Somerset Island, Canada",423,422,"Eliott and Dineley, 1991' Novitskaya 2007; Elliott 2013; Miall & Kerr 1977 for palaeoenvironment 'inter-tidal'"
Heterostracans,Boothiaspis,alata,,Heterostraci,Cyathaspididae,Silurian,,Pridoli,,,Peel Sound Fm,,"Prince of Wales Island, Canada",423,422,Elliott and Dineley 1991; Boucot & Janis 1983 for BA
Heterostracans,Boothiaspis,alata,,Heterostraci,Cyathaspididae,Silurian,,Pridoli (Early),,,Somerset Island Fm,,"Pressure Point, Somerset Island, Canada",423,422,Elliott and Dineley 1991; Elliott and Swift 2013; Miall & Kerr 1977 for palaeoenvironment 'inter-tidal'
Heterostracans,Brachipteraspis,latissima,,,Pteraspididae,,,Lockhovian,,,Dniester Formation,Strypa ,Podolia,408,407,Voichyshyn 2011
Heterostracans,Canadapteraspis,alocostomata,,,,,,Lockhovian,Lower Dittonian,,Delorme,transition between Delorme and Road River,Northwest Territories,427,423,Dineley & Loeffler 1976 - GSC 69014 transistion between Delorme and Road River Fm detailed locality info in D&L suggests brackish lagoon similar to GSC 69017  - BA 3 according to Boucot & Janis 1983
Heterostracans,Canadapteraspis,thymostomata,,,,,,Lockhovian,Lower Dittonian,,Delorme,,Northwest Territories,427,423,"Dineley & Loeffler 1976 - GSC 81053 - environment same as GSC 69017 - which is Delorme Fm according to Boucot & Janis 1983 - coded as 3 for BA, but locality list suggests brackish so possibly shallower"
Heterostracans,Canadapteraspis,helostomata,,,,,,Lockhovian,Lower Dittonian,,Delorme,,Northwest Territories,427,423,"Dineley & Loeffler 1976 - GSC 81053 - environment same as GSC 69017 - which is Delorme Fm according to Boucot & Janis 1983 - coded as 3 for BA, but locality list suggests brackish so possibly shallower"
Heterostracans,Capitaspis,giblingi,,Heterostraci,Cyathaspididae,Silurian,,Pridoli (early),,,Somerset Island Fm,Upper Member,"Somerset Island, Canada",423,421,Elliott and Dineley 1991; Miall & Kerr 1977 for palaeoenvironment 'inter-tidal'; Boucot & Janis 1983 give BA 3
Heterostracans,Cosmaspis,transversa,,,,,,Emsian,,,Beartooth Butte,,Wyoming,407,393,Novitskaya 2007; Denison 1970; Fiorillo 2000 for environment
Heterostracans,Cosmaspis,sp.,,,,,,Pragian (Upper),,,Water Canyon,,Utah,410,409,Novitskaya 2007; Denison 1970; Reed 1997 (unpublishes thesis)
Heterostracans,Ctenaspis,kiaeri,,Heterostraci,Cyathaspididae,Devonian,,Lockhovian,,,Tyver Formation,Ivanie Member,"Podolia, Ukraine",414,412,littoral according to Voichyshyn 2011
Heterostracans,Ctenaspis,cancellata,,,,Devonian,,Lockhovian,,,Ben Nevis Formation,,Spitzbergen,413,410,Denison 1964
Heterostracans,Ctenaspis,dentata,,,,Devonian,,Lockhovian,,,Ben Nevis Formation,,Spitzbergen,413,410,Demson 1964
Heterostracans,Cyathaspis,banksi,,Heterostraci,Cyathaspididae,Silurian,,Ludfordian,,,Whitcliffe beds,,Shropshire,425,423,Denison 1964; Boucot & Janis 1983 for BA
Heterostracans,Cyathaspis,banksi,,Heterostraci,Cyathaspididae,Devonian,,Lockhovian,,,Downton Castle Sandstone Formation,,England,423,419,Denison 1964; Boucot & Janis 1983 for BA
Heterostracans,Cyathaspis,banksi,,Heterostraci,Cyathaspididae,Silurian,,Pridoli,,,Ludlow Bone Bed,,,423,421,Denison 1964; Boucot & Janis 1983 for BA
Heterostracans,Cyathaspis,acadia,,,Cyathaspididae,Silurian,,Ludlow-Pridoli,,,Jones Creek Formation,,New Brunswick,427,419,Denison 1964; Boucot & Janis 1983 for BA
Heterostracans,Cyathaspis,sp.,,Heterostraci,Cyathaspididae,Silurian,,Pridoli,,,Downton Castle Sandstone Formation,Platyschisma Beds,"Herefordshire, UK",423,419,Plotnick 1999
Heterostracans,Cyrtaspidichthys,ovata,,,,,,Emsian,,,Beartooth Butte,,Wyoming,407,393,Novitskaya 2007; Whitley 1940; Fiorillo 2000 for environment
Heterostracans,Cyrtaspidichthys,sculpta,,,,,,Emsian,,,Beartooth Butte,,Wyoming,407,393,Novitskaya 2007; Whitley 1940; Fiorillo 2000 for environment
Heterostracans,Dikenaspis,yukonensis,,Heterostraci,Cyathaspididae,Silurian,,Gorstian,,,Road River Formation,,"Beaver River, Southeastern Yukon, Canada",427,425,Denison 1964; Boucot & Janis 1983 for BA and formation
Heterostracans,Dinaspidella,sp.,,Heterostraci,Cyathaspididae,Silurian,,late Sheinwoodian-Homerian,,,Delorme,Avalanche Lake: AV4 and AV5,"Northwest territories, Canada",431,427,Elliott and Petriello 2011; Soehn 2000; Boucot & Janis 1983 for BA
Heterostracans,Dinaspidella,sp,,Heterostraci,Cyathaspididae,Devonian,,Lockhovian,,,Fraenkelryggen Formation,,"Red Bay, Spitsbergen",417,415,Plotnick 1999
Heterostracans,Dinaspidella,elizabethae,,Heterostraci,Irregularaspididae,Devonian,,Lockhovian,,,Delorme,transition between Delorme and Road River,"MOTH Site 127, GSC locality 69014, Unit 10, Northwest territories, Canada",419,411,Pellerin and Wilson 1995; Dineley & Loeffler 1976 loc info - GSC 69014 transistion between Delorme and Road River Fm detailed locality info in D&L suggests brackish lagoon similar to GSC 69017  - BA 3 according to Boucot & Janis 1983
Heterostracans,Djurinaspis,prima,,,Pteraspidiformes,Devonian,,Lockhovian/Pragian,,,Dniester Formation,Ustechko,"Podolia, Ukraine",412,410,lagoon-delta according to Voichyshyn 2011
Heterostracans,Djurinaspis,secunda,,,Pteraspidiformes,Devonian,,Lockhovian,,,Ikva,,"Podolia, Ukraine",412,410,lagoon-delta according to Voichyshyn 2011
Heterostracans,Dnestraspis,firma,,,Pteraspidiformes,Devonian,,Pragian,,,Dniester Formation,Khmeleva ,"Podolia, Ukraine",410,408,"Novitskaya, 2007; lacustrine according to Voichyshyn 2011"
Heterostracans,Doryaspis,nathorsti,,,,Devonian,,Pragian,,,Wood Bay,,"Spitbergen, Norway",410,407,Novitskaya; White 1935; Harland 1997 chpt.16 Geology of Svalbard
Heterostracans,Drepanaspis,gemuendensis,,,,Devonian,,Emsian,Lower,,Hunsruck Slate Formation,,"Gemuenden, Germany",407,403,Kuhl et al 2012; 'depths just below storm wave-base' Raiswell et al 2008
Heterostracans,Eriptychius,americanus,,Eriptychiida,Eriptychiidae,Ordovician,Upper,Sandbian,Sandbian,,Harding Formation,,"Canon City, Colorado",454,453,Walcott 1892; Boucot and Janis 1983 for BA; Allulee andHolland 2005
Heterostracans,Eriptychius,americanus,,Eriptychiida,Eriptychiidae,Ordovician,Upper,Katian,Caradoc,Winnipeg,Winnipeg Formation,South Piney Member,"Bighorn Mountains, Wyoming",454,453,Sansom and Smith 2005
Heterostracans,Eriptychius,americanus,,Eriptychiida,Eriptychiidae,Ordovician,Upper,Katian,Caradoc,,Viola Limestone,,"Arbuckle Mountains, southern Oklahoma",455,451,Ossian and Halseth 1976; Alberstadt 1973 and Boucot and Janis 1983 for palaeoenvironment; Amsden 1983 and Gao et al 1996 for age and shallow subtidal in upper deposits
Heterostracans,Errivaspis,waynensis,,,Pteraspididae,Devonian,,Lockhovian,,Ditton Group,,Wayne Herbert Quarry,"Abergavenny, South Wales",419,411,Dineley 1999; lot of lit for environment cited in GCR volume
Heterostracans,Escharaspis,alata,,,,Devonian,,Lockhovian (Upper),,,"Peel Sound, Drake Bay, Snowblind Bay",,"Prince of Wales Island, Canadian Arctic",414,410,Elliott 1983; Boucot & Janis 1983 for BA
Heterostracans,Eucyclaspis,erroli,,,,,,Pragian (Upper),,,Water Canyon,,Utah,410,409,Novitskaya 2007; Denison 1970; Reed 1997 (unpublishes thesis)
Heterostracans,Europrotaspis,crenulata,,,Pteraspididae,,,Lockhovian,,Ditton Group,,upper cornstone,Besom farm,413,411,Loeffler and Thomas 1980; Dineley & Metcalfe 1999; lack of any marine inverts
Heterostracans,Europrotaspis,arnelli,,,,,,Lockhovian (Upper),,,Dniester Formation,Strypa Stage,"Podolia, Ukraine",408,407,Novitskaya 2007; terrestrial channel deposit according to Voichyshyn 2011
Heterostracans,Gigantaspis,minima,,,Pteraspidiformes,,,Pragian,early,,Wood Bay Formation,Sigurdfjellet,"Spitsbergen , Norway",410,409,Pernegre & Goujet 2007; Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Heterostracans,Gigantaspis,laticephala,,,Pteraspidiformes,,,Pragian,,,Wood Bay Formation,Kapp Kjeldsen,"Spitsbergen , Norway",408,407,Pernegre & Goujet 2007; Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Heterostracans,Gigantaspis,isachseni,,,Pteraspidiformes,,,Pragian,,,Wood Bay Formation,Kapp Kjeldsen,"Spitsbergen , Norway",408,407,Pernegre & Goujet 2007; Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Heterostracans,Gigantaspis,bocki,,,Pteraspidiformes,,,Pragian,,,Wood Bay Formation,Kapp Kjeldsen,"Spitsbergen , Norway",408,407,Pernegre & Goujet 2007; Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
