Group,Subgroup,Genus,Species,Stage bin,Body size (cm),Citation
Actinopterygii,NA,Dialipina,markae,Lochkovian-Emsian,6.3,Basden & Young 2001
Actinopterygii,NA,Ligulalepis,toombsi,Emsian,7.3,Basden & Young 2001
Actinopterygii,NA,Dialipina,salgueroensis,Emsian,12,Basden & Young 2001
Actinopterygii,NA,Cheirolepis,tralli,Eifelian-Givetian,25,Frickhinger 1991
Actinopterygii,NA,Moythomasia,striatus,Eifelian-Frasnian,15,Gross 1953
Actinopterygii,NA,Donnrosenia,schaefferi,Givetian,21,Long et al. 2008
Actinopterygii,NA,Howqualepis,rostridens,Givetian,50,Long 1988
Actinopterygii,NA,Howqualepis,youngorum,Givetian,14,Choo 2009
Actinopterygii,NA,Stegotrachelus,finlayi,Givetian-Frasnian,14.6,Swartz 2009
Actinopterygii,NA,Cheirolepis,canadensis,Frasnian,53,Whitheaves 1887
Actinopterygii,NA,Moythomasia,durgaringa,Frasnian,10,Daeschler 2000
Actinopterygii,NA,Moythomasia,nitida,Frasnian,15,Choo 2011
Actinopterygii,NA,Moythomasia,sp.,Frasnian,20,Choo 2011
Actinopterygii,NA,Mimipsicus,toombsi,Frasnian,20,Choo 2011
Actinopterygii,NA,Osorioichthys,marginis,Famennian,30,Taverne 1997
Actinopterygii,NA,Krasnoyarichthys,jesseni,Famennian,10,Prokofiev 2002
Actinopterygii,NA,Limnomis,delaneyi,Famennian,6,Daeschler 2000
Actinopterygii,NA,Cuneognathus,gardineri,Famennian,12,Friedman & Blom 2006
Actinopterygii,NA,Tegeolepis,clarki,Famennian,100,Dunkle & Schaeffer 1973
Actinopterygii,NA,Kentuckia,hlavini,Famennian,10,Frickhinger 1991
Actinopterygii,NA,Gonatodus,brainerdi,Famennian,40,Newberry 1889
Actinopterygii,NA,Ganolepis,gracilis,Tournaisian,5,Woodward 1893
Actinopterygii,NA,Oxypteriscus,minimus,Tournaisian,5,Berg et al. 1967
Actinopterygii,NA,Senekichthys,hirundo,Tournaisian,10,Prokofiev 2004
Actinopterygii,NA,Ministrella,longicauda,Tournaisian,5,Berg et al. 1967
Actinopterygii,NA,Gyrolepitodus,sp.,Tournaisian,5,Berg et al. 1967
Actinopterygii,NA,Palaeobergia,microlepis,Tournaisian,12,Berg et al. 1967
Actinopterygii,NA,Mansfieldiscus,sweeti,Tournaisian,40,Long 1988
Actinopterygii,NA,Novogonatodus,kazantsevae,Tournaisian,20,Long 1988
Actinopterygii,NA,Aetheretmon,valentiacum,Tournaisian,12,Smithson et al. 2012
Actinopterygii,NA,Strepheoschema,fouldenensis,Tournaisian,16,"Gardiner, 1985"
Actinopterygii,NA,Fouldenia,ischyptera,Tournaisian,12,"Sallan and Coates, 2013"
Actinopterygii,NA,Phanerosteon,ovensi,Tournaisian,9,Smithson et al. 2012
Actinopterygii,NA,Cosmoptychius,striatus,Tournaisian-Visean,26,Traquair 1877
Actinopterygii,NA,Rhadinichthys,alberti,Tournaisian,9,Lambe 1910
Actinopterygii,NA,Acrolepis,hortonensis,Tournaisian,30,Lambe 1910
Actinopterygii,NA,Elonichthys,browni,Tournaisian,11,Hussakof & Bryant 1918
Actinopterygii,NA,Mansfieldiscus?,gibbus,Tournaisian,10,Long 1988
Actinopterygii,NA,Kentuckia,deani,Tournaisian,13,Berg et al. 1967
Actinopterygii,NA,Benedenius,deenensis,Visean,29,Boulenger 1899
Actinopterygii,NA,Adroichthys,tuberculatus,Visean,10,Gardiner 1969
Actinopterygii,NA,Mentzichthys,jubbi,Visean,40,Gardiner 1969
Actinopterygii,NA,Mentzichthys,maraisi,Visean,18,Gardiner 1969
Actinopterygii,NA,Mentzichthys,theroni,Visean,12,Gardiner 1969
Actinopterygii,NA,Aestaurichthys,fulcratus,Visean,10.5,Gardiner 1969
Actinopterygii,NA,Soetendalichthys,cromptoni,Visean,21,Gardiner 1969
Actinopterygii,NA,Australichthys,longidorsalis,Visean,15,Gardiner 1969
Actinopterygii,NA,Willomorichthys,striatulus,Visean,25,Gardiner 1969
Actinopterygii,NA,Sundayichthys,cromptoni,Visean,10,Gardiner 1969
Actinopterygii,NA,Dwykia,anaensis,Visean,12,Gardiner 1969
Actinopterygii,NA,Tarrasius,problematicus,Visean,9,Sallan 2012
Actinopterygii,NA,Holurus,parki,Visean,12,Berg et al. 1967
Actinopterygii,NA,Mesopoma,politum,Visean,7,Frickhinger 1991
Actinopterygii,NA,Mesopoma,pulchellum,Visean,8,Frickhinger 1991
Actinopterygii,NA,Mesopoma,crassum,Visean,15,Moy-Thomas 1934
Actinopterygii,NA,Canobius,ramseyi,Visean,12,Frickhinger 1991
Actinopterygii,NA,Styracopterus,fulcratus,Visean,16,"Sallan and Coates, 2013"
Actinopterygii,NA,Canobius,elegantulus,Visean,7,Moy-Thomas 1934
Actinopterygii,NA,Paramesolepis,rhombus,Visean,13,"Sallan and Coates, 2013"
Actinopterygii,NA,Paramesolepis,tuberculata,Visean,13,"Sallan and Coates, 2013"
Actinopterygii,NA,Rhadinichthys,canobiensis,Visean,12,Moy-Thomas 1934
Actinopterygii,NA,Proteurynotus,sp.,Visean,16,"Sallan and Coates, 2013"
Actinopterygii,NA,Rhadinichthys,carinatus,Visean,11,Traquair 1907
Actinopterygii,NA,Wardichthys,cyclosoma,Visean,11,"Sallan and Coates, 2013"
Actinopterygii,NA,Rhadinichthys,elegantulus,Visean,4.5,Berg et al. 1967
Actinopterygii,NA,Rhadinichthys,fusiformis,Visean,11,Frickhinger 1991
Actinopterygii,NA,Rhadinichthys,ornatissmus,Visean,25,Hussakof & Bryant 1918
Actinopterygii,NA,Cycloptychius,concentricus,Visean,12,Berg et al. 1967
Actinopterygii,NA,Elonichthys,serratus,Visean,12,Traquair 1881
Actinopterygii,NA,Elonichthys,striatulus,Visean,6,Traquair 1881
Actinopterygii,NA,Elonichthys,robisoni,Visean-Serpukhovian,10,Traquair 1881
Actinopterygii,NA,Acrolepis,ortholepis,Visean,30,Frickhinger 1991
Actinopterygii,NA,Cherodopsis,geikei,Visean,9,Frickhinger 1991
Actinopterygii,NA,Nematoptychius,greenocki,Visean-Serpukhovian,45,Frickhinger 1991
Actinopterygii,NA,Platysomus,superbus,Visean,18,Moy-Thomas 1934
Actinopterygii,NA,Gonatodus,punctatus,Visean,5,Traquair 1907
Actinopterygii,NA,Eurynotus,crenatus,Visean-Serpukhovian,17,Frickhinger 1991
Actinopterygii,NA,Drydenius,insignius,Visean-Serpukhovian,10,Frickhinger 1991
Actinopterygii,NA,Phanerosteon,mirabile,Visean,14,Moy-Thomas and Miles 1971
Actinopterygii,NA,Mesolepis,sp.,Visean,20,Photo
Actinopterygii,NA,Amphicentrum,crassum,Visean-Serpukhovian,30,"Sallan and Coates, 2013"
Actinopterygii,NA,Frederichthys,musadentatis,Serpukhovian,5.7,Coates 1993
Actinopterygii,NA,Mesopoma,carricki,Serpukhovian,7,Coates 1993
Actinopterygii,NA,Mesopoma,smithsoni,Serpukhovian,8,Coates 1993
Actinopterygii,NA,Mesopoma,pancheni,Serpukhovian,5.5,Coates 1993
Actinopterygii,NA,Mesopoma,planti,Serpukhovian,6,Coates 1999
Actinopterygii,NA,Woodichthys,sp.,Serpukhovian,11,Photo
Actinopterygii,NA,Melanecta,anneae,Serpukhovian,5,Coates 1993
Actinopterygii,NA,Paratarrasius,hibbardi,Serpukhovian,13.6,Lund & Melton 1982
Actinopterygii,NA,Aesopichthys,erinaceus,Serpukhovian,9,Poplin & Lund 2000
Actinopterygii,NA,Proceramala,montanensis,Serpukhovian,10,Poplin & Lund 2000
Actinopterygii,NA,Cyranorhis,bergeraci,Serpukhovian,15,Lund & Poplin 1997
Actinopterygii,NA,Kalops,monophrys,Serpukhovian,11.6,Poplin & Lund 2002
Actinopterygii,NA,Kalops,diophrys,Serpukhovian,9.6,Poplin & Lund 2002
Actinopterygii,NA,Discoserra,pectinodon,Serpukhovian,6,Lund 2000
Actinopterygii,NA,Guildayichthys,carnegiei,Serpukhovian,6,Lund 2000
Actinopterygii,NA,Wendyichthys,dicksoni,Serpukhovian,12,Lund & Poplin 1997
Actinopterygii,NA,Wendyichthys,lautreci,Serpukhovian,11,Lund & Poplin 1997
Actinopterygii,NA,Yogoniscus,gulo,Serpukhovian,27,Frickhinger 1991
Actinopterygii,NA,Rhadinichthys,monensis,Serpukhovian,9,Wellburn 1900
Actinopterygii,NA,Tanypterichthys,pridensis,Serpukhovian,50,Weems & Windolph 1986
Actinopterygii,NA,Cryphiolepis,striatus,Serpukhovian,12,Traquair 1881
Actinopterygii,NA,Fubarichthys,copiosus,Serpukhovian,10,"Lowney, 1980"
Actinopterygii,NA,Apholidotus,ossna,Serpukhovian,8,Frickhinger 1991
Actinopterygii,NA,Elonichthys,obliquuis,Serpukhovian,15,Wellburn 1903
Actinopterygii,NA,Lineagruan,judithi,Serpukhovian,9.5,Mickle et al. 2009
Actinopterygii,NA,Lineagruan,snowyi,Serpukhovian,12.3,Mickle et al. 2009
Actinopterygii,NA,Beagiascus,pulcherrimus,Serpukhovian,10,Mickle et al. 2009
Actinopterygii,NA,Atracauda,lundi,Serpukhovian,13,Frickhinger 1991
Actinopterygii,NA,Bourbonella,jocelynae,Serpukhovian,3,Mickle 2011
Actinopterygii,NA,Guntherichthys,lehiensis,Serpukhovian,7.5,Mickle 2011
Actinopterygii,NA,Spinofacia,pectinatus,Serpukhovian,10,Mickle 2011
Actinopterygii,NA,Prohapolepis,scotica,Serpukhovian,4,Lowney 1983
Actinopterygii,NA,Blairolepis,loanheadensis,Serpukhovian,4.5,Lowney 1983
Acanthodii,Acanthodida,Promesacanthus,eppleri,Lochkovian,3,Hanke 2008a
Acanthodii,Climatiida,Gladiobranchus,probaton,Lochkovian,11,Hanke 2008b
Acanthodii,Climatiida,Cassidiceps,vermiculatus,Lochkovian,6.7,Gagnier & Wilson 1996
Acanthodii,NA,Brochoadmones,milesi,Lochkovian,14,Denison 1979
Acanthodii,Climatiida,Lupopsyrus,pygmaeus,Lochkovian,5.5,Denison 1979
Acanthodii,NA,Paucicanthus,vanelsti,Lochkovian,3.8,Hanke 2002
Acanthodii,Climatiida,Tetanopsyrus,lindoei,Lochkovian,3.7,Hanke et al. 2001
Acanthodii,Climatiida,Tetanopsyrus,breviacanthus,Lochkovian,4,Hanke et al. 2001
Acanthodii,Ishnacanthida,Machaeracanthus,bohemicus,Lochkovian-Emsian,200,Denison 1979
Acanthodii,Climatiida,Ptomacanthus,anglicus,Lochkovian,30,Denison 1979
Acanthodii,Climatiida,Vernicomacanthus,waynensis,Lochkovian,15,Denison 1979
Acanthodii,Climatiida,Uraniacanthus,spinosus,Lochkovian,15,Denison 1979
Acanthodii,Ishnacanthida,Onchus,besomensis,Lochhovian,30,White 1962
Acanthodii,Ishnacanthida,Onchus,wheathillensis,Lochkovian,50,White 1962
Acanthodii,Climatiida,Bradyacanthus,scutiger,Lochkovian,7,Denison 1979
Acanthodii,Climatiida,Climatius,reticulatus,Lochkovian,14,Frickhinger 1991
Acanthodii,Climatiida,Euthacanthus,macnicoli,Lochkovian,14,Frickhinger 1991
Acanthodii,Ishnacanthida,Ishnacanthus,gracilis,Lochkovian,16,Denison 1979
Acanthodii,Acanthodida,Mesacanthus,mitchelli,Lochkovian,6,Frickhinger 1991
Acanthodii,NA,Podoliacanthus,zychi,Lochkovian-Pragian,16,Voichyshyn & Szaniawski 2012
Acanthodii,Climatiida,Acritolepis,ushakovi,Lochkovian,8,"Valiukevius, 2003b"
Acanthodii,Climatiida,Acritolepis,urvantsevi,Lochkovian,12,"Valiukevius, 2003b"
Acanthodii,Ishnacanthida,Poracanthodes,punctatus,Lochkovian-Pragian,20,"Valiukevius, 2003b"
Acanthodii,Ishnacanthida,Acanthophora,transitans,Lochkovian,7.5,"Valiukevius, 2003b"
Acanthodii,NA,Sinacanthus,wuchangensis,Lochkovian-Givetian,47,Maisley & Janvier 2011
Acanthodii,NA,Sinacanthus,sp.,Lochkovian,27,Maisley & Janvier 2011
Acanthodii,Climatiida,Parexus,incurvus,Lochkovian,7.5,Noyitskava & Obruchev 1967
Acanthodii,Ishnacanthida,Machaeracanthus,goujeti,Pragian,30,Botella et al. 2012
Acanthodii,Ishnacanthida,Machaeracanthus,hunsrueckianum,Pragian-Emsian,150,"Sudkamp and Burrow, 2007"
Acanthodii,Ishnacanthida,Machaeracanthus,peracutus,Pragian-Emsian,81,Newberry 1889
Acanthodii,Ishnacanthida,Machaeracanthus,sulcatus,Pragian-Givetian,110,Newberry 1889
Acanthodii,Climatiida,Undichna,septesmsulcata,Pragian,34,Wisshak et al. 2004
Acanthodii,Climatiida,Bryantonchus,peracutus,Pragian-Emsian,31,Burrow 2007
Acanthodii,Ishnacanthida,Machaeracanthus,sp.,Emsian,140,"Sudkamp and Burrow, 2007"
Acanthodii,Ishnacanthida,Taemasacanthus,erroli,Emsian,28,Long 1986
Acanthodii,Ishnacanthida,Taemasacanthus,porca,Emsian,9.3,Lindley 2000
Acanthodii,Ishnacanthida,Taemasacanthus,cooradigbeensis,Emsian,14,Lindley 2002
Acanthodii,Ishnacanthida,Taemasacanthus,narrengullensis,Emsian,22,Lindley 2002
Acanthodii,Ishnacanthida,Cavanacanthus,warrooensis,Emsian,16,Lindley 2000
Acanthodii,Ishnacanthida,Cambaracanthus,comptus,Emsian,11,Lindley 2000
Acanthodii,Climatiida,Sevyacanthus,elliotti,Emsian,24,Burrow 2007
Acanthodii,Climatiida,Climatius,latispinosus,Emsian,54,Burrow 2007
Acanthodii,Climatiida,Nodocosta,denisoni,Emsian,15,Burrow 2007
Acanthodii,Ishnacanthida,Ishnacanthus,sp.,Emsian,31,Burrow 2007
Acanthodii,Ishnacanthida,Cacheacanthus,utahensis,Emsian,32,Burrow 2007
Acanthodii,Ishnacanthida,Melanocanthus,minutus,Emsian,2,Cumbaa & Schultze 2002
Acanthodii,Climatiida,Diplacanthus,striatus,Eifelian-Givetian,10,Denison 1979
Acanthodii,Climatiida,Diplacanthus,tenuistriatus,Eifelian-Givetian,19,Denison 1979
Acanthodii,Gyracanthida,Gyracanthides,sp.1,Eifelian,150,Long 2011
Acanthodii,Gyracanthida,Gyracanthides,sp.2,Eifelian,110,Warren et al. 2000
Acanthodii,Gyracanthida,Gyracanthus,sp.,Eifelian,50,"Blieck et al., 1980"
Acanthodii,Climatiida,Rhadinacanthus,longispinus,Eifelian-Givetian,16,Frickhinger 1991
Acanthodii,Acanthodida,Cheiracanthus,murchisoni,Eifelian-Givetian,30,Denison 1979
Acanthodii,Acanthodida,Cheiracanthus,latus,Eifelian-Givetian,19,Denison 1979
Acanthodii,Ishnacanthida,Atopacanthus,pecularis,Eifelian,52,Burrow 2004
Acanthodii,Ishnacanthida,Atopacanthus,ambrockensis,Eifelian,17,Otto 1999
Acanthodii,Acanthodida,Mesacanthus,peachi,Eifelian-Givetian,6,Denison 1979
Acanthodii,Acanthodida,Haplacanthus,marginalis,Givetian,28,Noyitskava & Obruchev 1967
Acanthodii,Acanthodida,Homacanthus,gracilis,Givetian,8.2,Noyitskava & Obruchev 1967
Acanthodii,Ishnacanthida,Machaeracanthus,longaevus,Givetian,16,Reed 1986
Acanthodii,Ishnacanthida,Machaeracanthus,major,Givetian,260,Newberry 1889
Acanthodii,Climatiida,Nodocosta,pauli,Givetian,16,Denison 1979
Acanthodii,Climatiida,Diplacanthus,longispinus,Givetian,22,Denison 1979
Acanthodii,Climatiida,Antarctonchus,glacialis,Givetian-Frasnian,80,Denison 1979
Acanthodii,Gyracanthida,Gyracanthides,warreni,Givetian-Famennian,50,Blieck et al. 1980
Acanthodii,Climatiida,Culmacanthus,antarctica,Givetian,21,Young 1989
Acanthodii,Climatiida,Culmacanthus,pambulensis,Givetian-Frasnian,14,Young 1989
Acanthodii,NA,Archaecanthus,quadrisulcatus,Givetian,60,Denison 1979
Acanthodii,Climatiida,Milesacanthus,antarctica,Givetian,22,Young & Burrow 2004
Acanthodii,Ishnacanthida,Howittacanthus,kentoni,Givetian,19,Long 1986
Acanthodii,Acanthodida,Lodeacanthus,guajicas,Givetian,3.12,Upniece 2001
Acanthodii,Acanthodida,Oracanthus,sp.,Givetian,220,Denison 1979
Acanthodii,Ishnacanthida,Persacanthus,simpsoniensis,Givetian-Frasnian,34,Reed 1986
Acanthodii,Ishnacanthida,Apateacanthus,vestustus,Frasnian,31,Burrow 2004
Acanthodii,Ishnacanthida,Atopacanthus,dentatus,Frasnian,31,Burrow 2004
Acanthodii,Climatiida,Culmacanthus,stewartii,Frasnian,14,Young 1989
Acanthodii,Ishnacanthida,Machaeracanthus,sp.,Frasnian,16,Reed 1986
Acanthodii,Ishnacanthida,Machaeracanthus,restustus,Frasnian,55,Wells 1940
Acanthodii,Climatiida,Diplacanthus,horridus,Frasnian,12,Denison 1979
Acanthodii,Acanthodida,Triazeugacanthus,affinus,Frasnian,3,Frickhinger 1991
Acanthodii,Acanthodida,Homalacanthus,concinnus,Frasnian,8,Frickhinger 1991
Acanthodii,Gyracanthida,Gyracanthus,sarlei,Frasnian,51,Hussakof & Bryant 1918
Acanthodii,Climatiida,Florestacanthus,morenoi,Frasnian,56,Burrow et al. 2003
Acanthodii,Climatiida,Cosmacanthus,malcomsoni,Frasnian,34,Noyitskava & Obruchev 1967
Acanthodii,Ishnacanthida,Onchus,latus,Famennian,4,Derycke & Clement 2002
Acanthodii,Gyracanthida,Gyracanthus,sherwoodi,Famennian,90,Newberry 1889
Acanthodii,Climatiida,Diplacanthus,acus,Famennian,10,Gess 2001
Acanthodii,Acanthodida,Devononchus,tenusipinus,Famennian,4,Derycke & Clement 2002
Acanthodii,Ishnacanthida,Grenfellacanthus,zerinae,Famennian,76,Long et al. 2004
Acanthodii,Acanthodida,Acanthodes,lopatini,Famennian-Tournaisian,12,Beznosov 2009
Acanthodii,Acanthodida,Acanthodes,dublinensis,Famennian,30,Denison 1979
Acanthodii,Acanthodida,Acanthodes,ovensis,Tournaisian,8.7,Dineley 1999
Acanthodii,Acanthodida,Acanthodes,australis,Tournaisian,30,Beznosov 2009
Acanthodii,Gyracanthida,Gyracanthus,falciformis,Tournaisian,90,Wells 1943
Acanthodii,Gyracanthida,Gyracanthus,compressus,Tournaisian,200,McCoy 1854
Acanthodii,Gyracanthida,Gyracanthus,alleni,Tournaisian,100,Newberry et al. 1870
Acanthodii,Gyracanthida,Gyracanthus,magnificus,Tournaisian,300,Traquair 1902
Acanthodii,Gyracanthida,Gyracanthus,obliquus,Tournaisian,200,Traquair 1902
Acanthodii,Gyracanthida,Gyracanthides,murrayi,Tournaisian,50,Denison 1979
Acanthodii,Gyracanthida,Oracanthus,milleri,Tournaisian-Serpukhovian,250,Denison 1979
Acanthodii,Gyracanthida,Oracanthus,pustulosus,Tournaisian,65,Patterson 1965
Acanthodii,Gyracanthida,Antacanthus,insignis,Tournaisian-Visean,300,Denison 1979
Acanthodii,Acanthodida,Acanthodes,nitidus,Visean,30,Watson 1937
Acanthodii,Gyracanthida,Gyracanthides,hawkinsi,Visean,100,Turner et al. 2005
Acanthodii,Acanthodida,Homacanthus,macrodus,Visean,12,McCoy 1848
Acanthodii,Acanthodida,Homacanthus,microdus,Visean,18,McCoy 1848
Acanthodii,Gyracanthida,Oracanthus,triangularis,Visean,150,Denison 1979
Acanthodii,Gyracanthida,Oracanthus,vetustus,Visean,250,Leidy 1856
Acanthodii,Gyracanthida,Gyracanthus,rectus,Visean,260,Wells 1943
Acanthodii,Gyracanthida,Acanthodopsis,russelli,Visean,37,Burrow 2004
Acanthodii,Acanthodida,Acanthodes,sulcatus,Visean-Serpukhovian,30,Watson 1937
Acanthodii,Acanthodida,Acanthodes,lundi,Serpukhovian,40,Zidek 1980
Acanthodii,Acanthodida,Acanthodes,wardi,Serpukhovian,25,Denison 1979
Acanthodii,Gyracanthida,Aganacanthus,striatulus,Serpukhovian,90,Denison 1979
Acanthodii,Gyracanthida,Gyracanthus,youngi,Serpukhovian,370,Traquair 1884
Acanthodii,Gyracanthida,Gyracanthus,nobilis,Serpukhovian,190,Traquair 1884
Acanthodii,Gyracanthida,Marsdenius,sumiti,Serpukhovian,10,Denison 1979
Acanthodii,Gyracanthida,Marsdenius,acuta,Serpukhovian,7,Denison 1979
Agnatha,Heterostraci,Protopteraspis,gosseletti,Lochkovian,21,Dineley 1999
Agnatha,Heterostraci,Poraspis,polaris,Lochkovian,13,Dineley 1999
Agnatha,Heterostraci,Poraspis,sericea,Lochkovian,20,Dineley 1999
Agnatha,Heterostraci,Poraspis,rostrata,Lochkovian,18,Elliott and Petriello 2011
Agnatha,Osteostraci,Cephalaspis,powrei,Lochkovian,12,Frickhinger 1991
Agnatha,Osteostraci,Cephalaspis,cradleyensis,Lochkovian,12,Dineley 1999
Agnatha,Osteostraci,Cephalaspis,cwmmillensis,Lochkovian,11,Dineley 1999
Agnatha,Osteostraci,Cephalaspis,abergavenniensis,Lochkovian,21,Dineley 1999
Agnatha,Osteostraci,Cephalaspis,pagei,Lochkovian,,Dineley 1999
Agnatha,Osteostraci,Cephalaspis,lyelli,Lochkovian,,Moy-Thomas & Miles 1971
Agnatha,Osteostraci,Cephalaspis,toombsi,Lochkovian,30,White 1935
Agnatha,Osteostraci,Cephalaspis,waynensis,Lochkovian,27,White 1935
Agnatha,Osteostraci,Cephalaspis,virgoi,Lochkovian,28,White 1935
Agnatha,Thelodonti,Turinia,pagei,Lochkovian,32,Frickhinger 1991
Agnatha,Heterostraci,Pteraspis,rostrata,Lochkovian,15,Frickhinger 1991
Agnatha,Heterostraci,Pteraspis,jackana,Lochkovian,15,White 1935
Agnatha,Heterostraci,Pteraspis,mitchelli,Lochkovian,26,Dineley 1999
Agnatha,Osteostraci,Cwmaspis,billcrofti,Lochkovian,14,Dineley 1999
Agnatha,Heterostraci,Rhinopteraspis,crouchi,Lochkovian,17,Dineley 1999
Agnatha,Heterostraci,Rhinopteraspis,dunensis,Lochkovian,17,Dineley 1999
Agnatha,Thelodonti,Nikolivia,milesi,Lochkovian,15,Turner 1982
Agnatha,Heterostraci,Errivaspis,waynensis,Lochkovian,19,Mark-Kurik and Botella 2009
Agnatha,Heterostraci,Althaspis,leachi,Lochkovian,70,Loeffler & Thomas 1980
Agnatha,Heterostraci,Althaspis,sennensis,Lochkovian,30,Loeffler & Thomas 1980
Agnatha,Heterostraci,Althaspis,tarloi,Lochkovian,26,Loeffler & Thomas 1980
Agnatha,Osteostraci,Zenaspis,kasymyri,Lochkovian,30,Voichyshyn 2011
Agnatha,Heterostraci,Podolaspis,danieli,Lochkovian,17,Voichyshyn 2011
Agnatha,Heterostraci,Djurinaspis,secunda,Lochkovian,30,Voichyshyn 2011
Agnatha,Heterostraci,Semipodolaspis,slobodensis,Lochkovian,24,Voichyshyn 2011
Agnatha,Osteostraci,Waengsjoeaspis,nahanniensis,Lochkovian,29,Scott & Wilson 2012
Agnatha,Osteostraci,Waengsjoeaspis,platycornis,Lochkovian,22,Scott & Wilson 2012
Agnatha,Heterostraci,Larovaspis,kneri,Lochkovian,14,Lebedev et al. 2009
Agnatha,Galeaspida,Polybranchiaspis,liaojaoshanensis,Lochkovian-Pragian,16,Moy-Thomas & Miles 1971
Agnatha,Galeaspida,Polybranchiaspis,minor,Lochkovian,4.3,Moy-Thomas & Miles 1971
Agnatha,Galeaspida,Polybranchiaspis,yulongssus,Lochkovian,22,Zhu & Gai 2007
Agnatha,Galeaspida,Laxaspis,qujingensis,Lochkovian,26,Liu 1975
Agnatha,Galeaspida,Laxaspis,rostrata,Lochkovian,28,Liu 1975
Agnatha,Galeaspida,Diandongaspis,xishancunensis,Lochkovian,20,Liu 1975
Agnatha,Galeaspida,Damaspis,vartus,Lochkovian,10,Wang & Wang 1982
Agnatha,Galeaspida,Stephaspis,dipteriga,Lochkovian,18,Gai & Zhu 2007
Agnatha,Galeaspida,Eugaleaspis,changi,Lochkovian,9,Liu 1975
Agnatha,Galeaspida,Nanpanaspis,microculus,Lochkovian,14,Liu 1975
Agnatha,Galeaspida,Cyclodiscaspis,ctenus,Lochkovian,22,Liu 1975
Agnatha,Osteostraci,Didymaspos,grinrodi,Lochkovian,8.6,Obruchev 1967
Agnatha,Osteostraci,Timanaspis,kossovi,Lochkovian,21,Obruchev 1967
Agnatha,Osteostraci,Sclerodus,pustuliferus,Lochkovian,5.8,Obruchev 1967
Agnatha,Osteostraci,Asceraspis,robusta,Lochkovian,16,Obruchev 1967
Agnatha,Osteostraci,Hemicyclaspis,murchisoni,Lochkovian,21,Obruchev 1967
Agnatha,Osteostraci,Hirella,gracilis,Lochkovian,9,Obruchev 1967
Agnatha,Anaspida,Rhyncholepis,parvulus,Lochkovian,7,Obruchev 1967
Agnatha,Anaspida,Pterygolepis,nitidus,Lochkovian,11,Obruchev 1967
Agnatha,Anaspida,Pharyngolepis,oblongus,Lochkovian,18,Obruchev 1967
Agnatha,Osteostraci,Parameteoraspis,oblongus,Lochkovian-Emsian,20,Belles-Isles 1989
Agnatha,Heterostraci,Aporemaspis,pholidata,Lochkovian,11,Elliott & Loeffler 1984
