species,taxonomic_class,common_name,max_longevity,mass_g,metabolic_rate_Wg,trophic_level,habitat,habitat_ecology,volancy,refs,notes,
Acinonyx_jubatus,Mammalia,Cheetah,20.5,50577.92,0.001321973,carnivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Alces_alces,Mammalia,Eurasian Elk,27,351000,0.000882606,herbivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Amazona_vittata,Aves,Puerto Rican amazon,,281,,herbivore,,,volant,Myhrvold et al 2015,,
Ammocrypta_pellucida,Actinopterygii,Eastern sand darter,,0.8,,carnivore,freshwater,benthic,nonvolant,fishbase Anage,,
Ammodramus_savannarum,Aves,Grasshopper Sparrow,9.083333333,17.9,,insectivor,terrestrial,terrestrial,volant,Myhrvold et al 2015; Handbook of birds of the world,,
Amphimedon_compressa,Demospongiae,Red tree sponge,,,,filter-feeding,marine,benthic,nonvolant,,,
Anarhynchus_frontalis,Aves,Wrybill,,58.125,,,,,nonvolant,,,
Anas_fulvigula,Aves,Mottled Duck,29.1,1082,,omnivore,freshwater,semiaquatic,volant,Myhrvold et al 2015; Handbook of birds of the world,,
Anas_laysanensis,Aves,Laysan duck,29.1,1082,,insectivor,freshwater,semiaquatic,volant,Myhrvold et al 2015; Handbook of birds of the world,,
Anas_platyrhynchos,Aves,Mallard,29.1,1121,,omnivore,freshwater,semiaquatic,volant,Myhrvold et al 2015; Handbook of birds of the world,,
Anser_anser,Aves,Greylag goose,31,3308.5,,herbivore,terrestrial,semiaquatic,volant,Myhrvold et al 2015; Handbook of birds of the world,,
Anser_caerulescens,Aves,Snow Goose,,,,,,,,this is a synonom,,
Antechinus_agilis,Mammalia,Agile antechinus,5.408333333,26.25,0.005555556,carnivore,terrestrial,arboreal,nonvolant,Myhrvold et al 2015; Healy et al 2014,metabolic rate from A_stuartii,
Anthropoides_paradiseus,Aves,Blue Crane,,5100,,omnivore,terrestrial,terrestrial,volant,Handbook of birds of the world,?,
Astroblepus_ubidiai,Actinopterygii,Andean catfish,,18,,,,,nonvolant,fishbase,weigth calculated based on all LWR estimates for this body shape ,
Bonasa_umbellus,Aves,Ruffed grouse,11,532,,omnivore,terrestrial,terrestrial,volant,Myhrvold et al 2015; Handbook of birds of the world,,
Bos_frontalis,Mammalia,Gaur,26.2,812571.525,,herbivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015; Nowak 1999,?,
Bostrychia_hagedash,Aves,Hadada Ibis,16,1245.25,,insectivor,terrestrial,terrestrial,volant,Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,
Botrylloides_violaceus,Ascidiacea,Colonial tunicate,,,,filter-feeding,marine,benthic,nonvolant,need volumes,,
Brachyteles_hypoxanthus,Mammalia,Northern Muriqui,14.475,10839.905,,herbivore,terrestrial,arboreal,nonvolant,Myhrvold et al 2015; Nowak 1999,?,
Buteo_solitarius,Aves,Hawaiian hawk,17,505,,carnivore,terrestrial,,,Myhrvold et al 2015,,
Calidris_temminckii,Aves,Temmincks Stint,12.91666667,25.7,,insectivor,terrestrial,terrestrial,volant,Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,
Callorhinus_ursinus,Mammalia,Northern Fur Seal,35,55464.82,,carnivore,marine,pelagic,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Callospermophilus_lateralis,Mammalia,Golden-mantled ground squirrel,10.4,227.3,0.002515111,omnivore,terrestrial,semifossorial,nonvolant,Myhrvold et al 2015; Healy et al 2014,Spermophilus,
Calyptorhynchus_lathami,Aves,glossy black cockatoo,,431.975,,,,,volant,Myhrvold et al 2015,,
Canis_lupus,Mammalia,Wolf,29.5,29190.755,0.001366582,carnivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Cardisoma_guanhumi,Malacostraca,Blue land crab,,500,,,,,,http://www.sms.si.edu/IRLspec/Cardis_guanhu.htm,weighs up to 500g not average,
Caretta_caretta,Reptilia,loggerhead turtle,76,109150,,carnivore,marine,pelagic,nonvolant,Myhrvold et al 2015: SeaLifeBase,,
Castor_canadensis,Mammalia,American Beaver,23.4,19928.335,0.001699956,herbivore,freshwater,semifossorial,nonvolant,Myhrvold et al 2015; Healy et al 2014,could alsobe defined as semiaquatic,
Catostomus_platyrhynchus,Actinopterygii,Mountain_sucker,9,15.77,,planktiovor,freshwater,river,nonvolant,fishbase Anage,,
Cebus_capucinus,Mammalia,White-headed Capuchin,55,2655,,omnivore,terrestrial,arboreal,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Centrocercus_urophasianus,Aves,Sage Grouse,7,1930,,omnivore,terrestrial,terrestrial,volant,Myhrvold et al 2015; Handbook of birds of the world,?,
Centrocercus_minimus,Aves,Gunnison sage grouse,,1650,,omnivore,terrestrial,terrestrial,volant,Myhrvold et al 2015,,
Cercopithecus_mitis,Mammalia,Blue Monkey,37.8,6116.5,0.002228774,omnivore,terrestrial,arboreal,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Cervus_elaphus,Mammalia,Red Deer,31.5,160166.665,0.001561782,herbivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Chelodina_expansa,Reptilia,Giant Snake-necked Turtle,,4744,,carnivore,freshwater,semiaquatic,nonvolant,Cann 1998 Australian Freshwater turtles; Bower and Hodges 2014 A Compilation Project of the IUCN SSC Tortoise and Freshwater Turtle Specialist Group; Myhrvold et al 2015,,
Chelydra_serpentina,Reptilia,Common Snapping Turtle,47,5170,,carnivore,freshwater,semiaquatic,nonvolant,Myhrvold et al 2015,,
Chen_caerulescens,Aves,Snow Goose,27.5,2630.75,,herbivore,terrestrial,terrestrial,volant,Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,
Chrysemys_picta,Reptilia,Painted Turtle,61,371.8,,omnivore,freshwater,benthic,nonvolant,Ernst and Lovich Turtles of the United States and Canada; Myhrvold et al 2015,,
Cicindela_ohlone,Insecta,tiger_beetle_sp,,,,carnivore,terrestrial,terrestrial,nonvolant,Freitag et al 1993,Cicindela longilabris size 124g and 0.970560 J/hr,
Ciconia_ciconia,Aves,White stork,48,3350,,carnivore scavanger,terrestrial,terrestrial,volant,Myhrvold et al 2015; Handbook of birds of the world,,
Clemmys_guttata,Reptilia,Spotted Turtle,30,165.4,,omnivore,freshwater,benthic,nonvolant,Ernst and Lovich Turtles of the United States and Canada; Myhrvold et al 2015,,
Clethrionomys_sp.,Mammalia,,,,,,,,,need_more_info_on_species,need_more_info_on_species,
Colias_alexandra,Insecta,Queen Alexandra's sulphur,,,,,,,,this needs to be reset as seasonal,,
Coragyps_atratus,Aves,Black Vulture,25.5,2080.5,,scavanger,terrestrial,terrestrial,volant,Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,
Cottus_sp,,,,,,,,,,,,
Crocodylus_johnstoni,Reptilia,"Freshwater Crocodile, Johnstone River Crocodile",20,19500,,carnivore,freshwater,benthic,nonvolant,Myhrvold et al 2015,,
Crocodylus_niloticus,Reptilia,Nile crocodile,64,94200,,carnivore-scavanger,freshwater,benthic,nonvolant,Myhrvold et al 2015,,
Cryptophis_nigrescens,Reptilia,"Black-banded Trinket Snake, Red Bamboo Snake",11.6,1465.5,,carnivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015; Healy et al in prep venom evolution,,
Cyprinodon_diabolis,Actinopterygii,Devils hole pupfish,,0.15,,planktiovor,freshwater,benthopelagic,nonvolant,fishbase Anage,,
Drymarchon_couperi,Reptilia,eastern indigo snake ,25.9,7118,,carnivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015,,
Diceros_bicornis,Mammalia,Black Rhinoceros,49.24166667,995940.54,,herbivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Didelphis_aurita,Mammalia,Big-eared Opossum,7,1149.875,,omnivore,terrestrial,semiarboreal,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Eidolon_helvum,Mammalia,African Straw-colored Fruit Bat,21.8325,280.43,,herbivore,terrestrial,arboreal,volant,Myhrvold et al 2015; Healy et al 2014,,
Elephas_maximus,Mammalia,Asian Elephant,80,3.22E+06,0.000636302,herbivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Emydura_macquarii,Reptilia,Murray River turtle,20.9,1740,,carnivore,freshwater,benthic,nonvolant,Cann 1998 Australian Freshwater turtles; Bower and Hodges 2014 A Compilation Project of the IUCN SSC Tortoise and Freshwater Turtle Specialist Group; Myhrvold et al 2015,need to look elswewhere,
Enhydra_lutris,Mammalia,Sea Otter,30,943.25,0.004016049,carnivore,marine,pelagic,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Epidalea_calamita,Amphibia,Natterjack toad,17,25.8,,carnivore,freshwater,semiaquatic,nonvolant,need mass ref,65mm length and max age from http://amphibiaweb.org/cgi/amphib_query?where-genus=Epidalea&where-species=calamita mass length conversion from Pough et al 1980,
Erimyzon_sucetta,Actinopterygii,Lake chubsucker ,8,201.7888,,omnivore,freshwater,lake,nonvolant,fishbase,25.8cm TL based on LWR estimates for this (Sub)family-body shape (Ref. 93245). Anage has max age at 6 but fishbase has it at 8,
Esox_lucius,Actinopterygii,Northern pike ,30,401.4,,carnivore,freshwater,river,nonvolant,fishbase,40cm TL using age-weight,
Eumetopias_jubatus,Mammalia,Steller sea lion,32.8,382466.74,,carnivore,marine,pelagic,nonvolant,Myhrvold et al 2015; Healy et al 2014,between intertidal and continental shelf,
Falco_naumanni,Aves,Lesser kestrel,10.91666667,152.5,,carnivore,terrestrial,terrestrial,volant,Myhrvold et al 2015; Handbook of birds of the world,,
Falco_peregrinus,Aves,peregrine falcon,25,827.25,,carnivore,terrestrial,aerial,volant,Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,
Forpus_passerinus,Aves,Green-rumped parrotlet,11.6,24,,herbivore,terrestrial,terrestrial,volant,Myhrvold et al 2015; Handbook of birds of the world,,
Fulmarus_glacialis,Aves,Northern Fulmar,51,785,,carnivore-scavanger,marine,pelagic,volant,Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,
Gavia_immer,Aves,Great Northern Loon,24.08333333,4400,,omnivore,freshwater,semiaquatic,volant,Myhrvold et al 2015; Handbook of birds of the world,,
Genypterus_blacodes,Actinopterygii,Pink cusk eel,30,5482,,carnivore,marine,bathydemersal,nonvolant,fishbase Anage,,
Gyps_coprotheres,Aves,Cape Vulture,41.4,7862,,scavanger,terrestrial,terrestrial,volant,Myhrvold et al 2015; Handbook of birds of the world,?,
Haematopus_ostralegus,Aves,Eurasian Oystercatcher,43.33333333,526,0.005252708,carnivore,terrestrial,terrestrial,volant,Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,
Haliaeetus_albicilla,Aves,White-tailed Eagle,42,4793,,carnivore-scavanger,terrestrial,pelagic,volant,Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,
Haliotis_laevigata,Gastropoda,Smooth Australian abalone,,45.7,,herbivore,marine,benthic,nonvolant,Shepherd 1973; Kube et al 2007,mass includes shell. Meat weigth available,
Haliotis_rufescens,Gastropoda,Red abalone,,579.3206336,,herbivore,marine,benthic,nonvolant,Rogers-Bennett et al 2007,Rogers-Bennett et al 2007 size based on the legal limit of fishing of 179.6cm,579.3206336
Himantopus_novaezelandiae,Aves,Black Stilt,12.16666667,161,,carnivore,freshwater,semiaquatic,volant,Myhrvold et al 2015; Handbook of birds of the world,?,
Hippocamelus_bisulcus,Mammalia,Guemal,10.73333333,69620.405,,herbivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Hirundo_rustica,Aves,Barn swallow,16,19,,insectivor,terrestrial,aerial,volant,Myhrvold et al 2015; Handbook of birds of the world,,
Hoplocephalus_bungaroides,Reptilia,Broad-headed Snake,19,279,,carnivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015; Healy et al in prep venom evolution,,
Hybognathus_argyritis,Actinopterygii,Western silvery minnow,5.5,7.246283,,herbivore,freshwater,river,nonvolant,"fishbase: max lifespan Pflieger, W.L. 1980. Hybognathus argyritis Girard, western silvery minnow, p. 174. In D.S. Lee, C.R. Gilbert, C.H. Hocutt, R.E. Jenkins, D.E. McAllister, and J.R. Stauffer Jr. (ed.). Atlas of North American freshwater fishes. North Carolina State Museum of Natural History, North Carolina Biological Survey Publication 1980-12. ",,
Isurus_oxyrinchus,Elasmobranchii,Shortfin Mako,32,208088.8,,carnivore,marine,pelagic,nonvolant,fishbase,,
Jynx_torquilla,Aves,Eurasian wryneck,10,35.86666667,,insectivor,terrestrial,terrestrial,volant,Myhrvold et al 2015; Handbook of birds of the world,,
Kinosternon_integrum,Reptilia,Mexican Mud Turtle,18.5,474.4,,carnivore,freshwater,benthic,nonvolant,Ernst and Lovich Turtles of the United States and Canada; Myhrvold et al 2015,needs more checks on diet,
Lacerta_agilis,Reptilia,Sand Lizard,12,9.87,,carnivore,terrestrial,terrestrial,nonvolant,Crovetto and Sebastiano 2013; Myhrvold et al 2015,,
Lagopus_leucura,Aves,White-tailed Ptarmigan,15,351,,herbivore,terrestrial,terrestrial,volant,Myhrvold et al 2015; Handbook of birds of the world,,
Lagopus_muta,Aves,Rock ptarmigan,6.083333333,521,,herbivore,terrestrial,terrestrial,volant,Myhrvold et al 2015; Handbook of birds of the world,,
Lagopus_muta_subsp._japonica,Aves,Rock Ptarmigan,6.083333333,521,,herbivore,terrestrial,terrestrial,volant,Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,
Lagothrix_lagotricha,Mammalia,Brown Woolly Monkey,32,6263.69,,herbivore,terrestrial,arboreal,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Leopardus_pardalis,Mammalia,Ocelot,28.2,10500,0.00167328,carnivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Lepus_americanus,Mammalia,Snowshoe Hare,8,1565.61,0.004239766,herbivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Lepus_europaeus,Mammalia,European Hare,12,3673.33,,herbivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
