species,taxonomic_class,common_name,max_longevity,mass_g,metabolic_rate_Wg,trophic_level,habitat,habitat_ecology,volancy,refs,notes,
Lithobates_catesbeianus,Amphibia,American Bulfrog,16,54.4,0.000246324,carnivore,freshwater,semiaquatic,nonvolant,Anage (longevity-mass-met-) and IUCN (habitat),met calculated from mass of 54.5,
Lontra_canadensis,Mammalia,North American River Otter,27,8087.42,,carnivore,freshwater,semiaquatic,nonvolant,Myhrvold et al 2015; Healy et al 2014,not sure about that semifossorial,
Loxodonta_africana,Mammalia,African Bush Elephant,80,4.50E+06,,herbivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Lycalopex_culpaeus,Mammalia,Culpeo,13.1,13000,,carnivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Lycaon_pictus,Mammalia,African wild dog,17,24249.995,0.003772571,carnivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Macaca_mulatta,Mammalia,Rhesus Monkey,40,6614,0.001952024,herbivore,terrestrial,semiarboreal,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Maccullochella_peelii,Actinopterygii,Murray cod ,48,2930.29,,carnivore,freshwater,river,nonvolant,fishbase,,
Macquaria_ambigua,Actinopterygii,Golden perch ,20,3645.54,,carnivore,freshwater,river,nonvolant,fishbase,,
Macrhybopsis_storeriana,Actinopterygii,Silver_chub,4,41.29,,omnivore,freshwater,benthic,nonvolant,fishbase,,
Macropus_eugenii,Mammalia,Tammar wallaby,15.1,5037.24,,herbivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015,,
Malaclemys_terrapin,Reptilia,Diamondback terrapin,14.1,803,,carnivore,freshwater,benthic,nonvolant,Ernst and Lovich Turtles of the United States and Canada; Myhrvold et al 2015,,
Marmota_flaviventris,Mammalia,Yellow-bellied Marmot,21.2,3709.73,0.002008617,herbivore,terrestrial,semifossorial,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Milvus_migrans,Aves,Black Kite,24,828.5,,carnivore-scavanger,terrestrial,terrestrial,volant,Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,
Mirounga_angustirostris,Mammalia,Northern Elephant Seal,20.29166667,914528.74,,carnivore,marine,mesopelagic,nonvolant,Myhrvold et al 2015; Healy et al 2014,only forages between 200m-500m,
Mirounga_leonina,Mammalia,Southern Elephant Seal,23,1.40E+06,,carnivore,marine,mesopelagic,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Montastraea_annularis,Anthozoa,Boulder star coral,,,,filter-feeding; autotrophic,marine,benthic,nonvolant,need volumes,,
Mustela_erminea,Mammalia,Ermine,12.5,110.33,0.008253968,carnivore,terrestrial,semifossorial,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Mya_arenaria,Bivalvia,Soft sheel clam,,74,,filter-feeding,marine,benthic,nonvolant,Cross et al 2012,see Anderson 1978 for metabolism,
Nephtys_incisa,Polychaeta,Catworm,,,,carnivore,marine,benthic,nonvolant,"Ravara et al 2010. Nephtyidae (Annelida, Polychaeta) from southern Europe. ZOOTAXA",can get mass by using measure of volume from reference and converting to biomass ,
Nuttallia_obscurata,purple mahogany clam,,,,,,,,,,need to look some more,
Odocoileus_virginianus,Mammalia,White-tailed Deer,23,65320,0.001394455,herbivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Oncorhynchus_tshawytscha,Actinopterygii,Chinook_salmon,9,4600,,omnivore,marine-freshwater,benthopelagic,nonvolant,fishbase Anage,246.6 respiration met at at 20C (mg/kg/h) for a 26g indavidual,
Onychogalea_fraenata,Mammalia,Bridled Nail-tail Wallaby,7.4,5226.025,,herbivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Orcinus_orca,Mammalia,Killer Whale,100,4.30E+06,0.000674911,carnivore,marine,pelagic,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Oreamnos_americanus,Mammalia,Mountain Goat,20.8,77227.7,0.00145026,herbivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Ovis_aries,Mammalia,Red Sheep,22.8,110000,,herbivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Ovis_canadensis,Mammalia,Bighorn Sheep,24,69125,0.002007991,herbivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Pan_troglodytes_subsp._schweinfurthii,Mammalia,Common Chimpanzee,74,44983.5,0.001494838,omnivore,terrestrial,semiarboreal,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Panthera_pardus,Mammalia,Leopard,27.3,53074.995,,carnivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Papio_cynocephalus,Mammalia,Yellow Baboon,45,17851.25,,omnivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015; Nowak 1999,?,
Paramuricea_clavata,Anthozoa,Violescent sea-whip,,,,filter-feeding; autotrophic,marine,benthic,nonvolant,need volumes or fractal dimestion etc,,
Pernis_apivorus,Aves,European Honey Buzzard,29,762.5,0.003626196,insectivor,terrestrial,terrestrial,volant,"Myhrvold et al 2015; Handbook of birds of the world,Healy et al 2014",,
Petauroides_volans,Mammalia,Greater Glider,15,1141,,herbivore,terrestrial,arboreal,volant,Myhrvold et al 2015,,
Phacochoerus_aethiopicus,Mammalia,Desert Warthog,18.8,73303.76,,herbivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015,,
Phalacrocorax_auritus,Aves,Double-crested Cormorant,22.5,1876.5,0.004129323,carnivore,marine,pelagic,volant,Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,
Phascolarctos_cinereus,Mammalia,Koala,22.1,5646.87,0.001217021,herbivore,terrestrial,arboreal,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Phocarctos_hookeri,Mammalia,New Zealand Sealion,23,273499.99,,carnivore,marine,pelagic,nonvolant,Myhrvold et al 2015,,
Phoebastria_immutabilis,Aves,Laysan Albatross,60,3050,,carnivore-scavanger,marine,pelagic,volant,Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,
Phrynosoma_cornutum,Reptilia,Texas Horned Lizard,,27.335,,carnivore,terrestrial,terrestrial,nonvolant,Whitford and Bryant 1979; Myhrvold et al 2015,,
Physeter_macrocephalus,Mammalia,Sperm Whale,100,1.01E+07,,carnivore,marine,pelagic,nonvolant,Myhrvold et al 2015,,
Picoides_arcticus,Aves,Black-backed woodpecker,4.916666667,72,,insectivor,terrestrial,arboreal,volant,Myhrvold et al 2015; Handbook of birds of the world,,
Picoides_borealis,Aves,Red-cockaded Woodpecker,16.1,48,,insectivor,terrestrial,arboreal,volant,Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,
Plexaura_A,Anthozoa,,,,,filter-feeding; autotrophic,marine,benthic,nonvolant,need volumes or fractal dimestion etc,,
Pocillopora_damicornis,Anthozoa,Cauliflower coral,,,,filter-feeding; autotrophic,marine,benthic,nonvolant,need volumes,grows to clumps upt to 30cm,
Podocnemis_expansa,Reptilia,"Arrau River Turtle, South American River Turtle",50,25800,,herbivore,freshwater,benthic,nonvolant,Ernst and Lovich Turtles of the United States and Canada; Myhrvold et al 2015,,
Poecilia_reticulata,Actinopterygii,Gubby,5,0.22,,carnivore,freshwater,benthopelagic,nonvolant,fishbase Anage,487 respiration met at at 20C (mg/kg/h) for a 0.2g indavidual,
Pongo_abelii,Mammalia,Sumatran Orangutan,60,53408.29,,herbivore,terrestrial,arboreal,nonvolant,Myhrvold et al 2015,?,
Presbytis_thomasi,Mammalia,Thomas's Langur,12.225,6689.99,,omnivore,terrestrial,arboreal,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Propithecus_edwardsi,Mammalia,Milne-Edwards's Sifaka,11.05833333,6568.99,,herbivore,terrestrial,arboreal,nonvolant,Myhrvold et al 2015; Nowak 1999,?,
Propithecus_verreauxi,Mammalia,Verreaux's Sifaka,30.5,3588.26,0.001238276,herbivore,terrestrial,semiarboreal,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Puffinus_auricularis_subsp._auricularis,Aves,Townsend's Shearwater,50.91666667,419.8333333,,carnivore-scavanger,marine,pelagic,volant,Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,
Puma_concolor,Mammalia,Cougar,23.8,48000,0.001327509,carnivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Rangifer_tarandus,Mammalia,Reindeer,21.7,101250,0.001416755,herbivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Rattus_fuscipes,Mammalia,Australian Bush Rat,5.3,127.29,0.006176901,omnivore,terrestrial,semifossorial,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Saguinus_fuscicollis,Mammalia,Brown-mantled Tamarin,24.9,393.99,,omnivore,terrestrial,arboreal,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Saguinus_imperator,Mammalia,Emperor Tamarin,23.7,482.15,,omnivore,terrestrial,arboreal,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Salvelinus_confluentus,Mammalia,bull trout,,2576.2,,carnivore,freshwater,river,nonvolant,fishbase,based on including genus in length wiegth calculation,
Sceloporus_arenicolus,Reptilia,Dunes Sagebrush Lizard,,6.58,,insectivor,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015,,
Sceloporus_grammicus,Reptilia,Mesquite lizard,,5.64,,carnivore,terrestrial,terrestrial,nonvolant,Manrique and Ramirez-Bautista 2010; Myhrvold et al 2015,,
Scolytus_ventralis,Insecta,Fir Engraver Beetle,,,,herbivore,terrestrial,terrestrial,nonvolant,,Need body mass,
Setophaga_cerulea,Aves,Cerulean warbler,6,9.05,,insectivor,terrestrial,arboreal,volant,Myhrvold et al 2015; Handbook of birds of the world,,
Spongia_graminea,Demospongiae,,,,,filter-feeding,marine,benthic,nonvolant,,,
Sprattus_sprattus_subsp._balticus,Actinopterygii,European sprat,6,11.3,,planktiovor,marine,pelagic,nonvolant,fishbase Anage,,
Sterna_hirundo,Aves,Common Tern,33,124,,carnivore,marine,pelagic,volant,Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,
Stellifer_illecebrosus,Actinopterygii,Silver stardrum ,,212.6034,,carnivore,marine,benthic,nonvolant,fishbase,,
Sternotherus_odoratus,Reptilia,"Common Musk Turtle, Stinkpot Turtle",54.90833333,137.9,,omnivore,freshwater,benthic,nonvolant,Ernst and Lovich Turtles of the United States and Canada; Myhrvold et al 2015,,
Sternula_antillarum,Aves,Least Tern,24.1,46.85,,carnivore,marine,aerial,volant,Myhrvold et al 2015,,
Strix_occidentalis_subsp._occidentalis,Aves,Spotted Owl,25,609.5,0.004684764,carnivore,terrestrial,terrestrial,volant,Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,
Sus_scrofa_subsp._scrofa,Mammalia,Wild Boar,27,135000,0.000771481,omnivore,terrestrial,semifossorial,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Tamiasciurus_hudsonicus,Mammalia,Red Squirrel,12,210.8,0.006076389,herbivore,terrestrial,semiarboreal,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Thalassarche_melanophris,Aves,Black-browed Albatross,43.7,3440,,carnivore-scavanger,marine,pelagic,volant,Myhrvold et al 2015; Handbook of birds of the world,?,
Thalassarche_melanophrys,Aves,Black-browed Albatross,43.7,3440,,carnivore-scavanger,marine,pelagic,volant,Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,
Turdus_torquatus,Aves,Ring Ouzel,9.1,109,,omnivore,terrestrial,terrestrial,volant,Myhrvold et al 2015; Handbook of birds of the world,,
Tympanuchus_cupido,Aves,Greater Prairie Chicken,13.5,885.5,,herbivore,terrestrial,terrestrial,volant,Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,
Umbonium_costatum,Gastropoda,,,,,herbivore,marine,benthic,nonvolant,Noda et al 1995,see Noda et al 1995 for mass,
Urocitellus_armatus,Mammalia,Uinta Ground Squirrel,7,310.4,,herbivore,terrestrial,semifossorial,nonvolant,Myhrvold et al 2015,?,
Urocitellus_beldingi,Mammalia,Belding's Ground Squirrel,11,289.18,0.002330874,omnivore,terrestrial,semifossorial,nonvolant,Myhrvold et al 2015; Healy et al 2014,Spermophilus,
Urocitellus_columbianus,Mammalia,Columbian Ground Squirrel,4.241666667,468.635,,herbivore,terrestrial,semifossorial,nonvolant,Myhrvold et al 2015,Spermophilus check met,
Urocyon_littoralis,Mammalia,Island Fox,10.48333333,1906.835,,carnivore,terrestrial,semiarboreal,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Ursus_americanus,Mammalia,American Black Bear,34,132405,0.000658172,omnivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Ursus_arctos_subsp._horribilis,Mammalia,Brown Bear,50,240500,0.000647042,omnivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Ursus_maritimus,Mammalia,Polar Bear,45,371703.81,,carnivore-scavanger,terrestrial,semiaquatic,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Vermivora_chrysoptera,Aves,Golden-winged warbler,7.916666667,8.9,,insectivor,terrestrial,semiarboreal,volant,Myhrvold et al 2015; Handbook of birds of the world,,
Vipera_aspis,Reptilia,Sahara Sand Viper,6,161,,carnivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015; Healy et al in prep venom evolution,,
Vireo_latimeri,Aves,Puerto Rican vireo,16.83333333,11.6,,insectivor,terrestrial,terrestrial,volant,Myhrvold et al 2015; Handbook of birds of the world,,
Xenosaurus_grandis,Reptilia,Knob-scaled Lizard,,23.59,,carnivore,terrestrial,terrestrial,nonvolant,"Lemos-Espinal et al 2003 Ecology of Xenosaurus grandis agrenon, a Knob-Scaled Lizard from Oaxaca, M_xico; Myhrvold et al 2015",,
Xenosaurus_platyceps,Reptilia,Flathead Knob-scaled Lizard,,19.6,,carnivore,terrestrial,terrestrial,nonvolant,Lemos-Espinal 2004;Myhrvold et al 2015,,
Xestospongia_muta,Demospongiae,Giant barrel sponge,,,,filter-feeding,marine,benthic,nonvolant,,,
Zalophus_californianus,Mammalia,California Sealion,35.7,158597.43,,carnivore,marine,pelagic,nonvolant,Myhrvold et al 2015; Healy et al 2014,,
Zingel_asper,Actinopterygii,Rhone streber ,,3.147875,,insectivor,freshwater,benthic,nonvolant,fishbase,,
Zoarces_viviparus,Actinopterygii,Viviparous eelpout,10,280.5,,carnivore,marine,benthic,nonvolant,fishbase; Anage,,
Zootoca_vivipara,Reptilia,"Viviparous Lizard, European common lizard",4.991666667,4.335,,carnivore,terrestrial,terrestrial,nonvolant,Myhrvold et al 2015,,